text,occurrences
"jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k",34
उ.प्र. पुलिस वुशू टीम 06 BN PAC मेरठ,20
"ih,uvks",13
"o""kZ",13
izfr;ksfxrk dk uke,12
"Ø0
la0",11
in o uke,11
LFkku,11
fnukad,11
f[kykMh dk izdkj,10
Li/kkZ,10
;ksx,10
dq'rh,9
"vUrjkZ""Vªh;",9
"jk""Vªh;",9
vf[ky Hkkjrh; iqfyl,9
"o""kZ&2024",9
कुशल खिलाडी,9
सामान्य खिलाडी,9
vkj{kh lfpu ;kno }kjk vftZr indksa dk fooj.k,8
प्रशिक्षक / सहायक प्रशिक्षक उ.प्र. पुलिस टीम,8
[ksy fo/kk,7
प्रशिक्षक उ.प्र. पुलिस टीम,7
Iknd,6
esMy,5
38osa us'kuy xsEl 2025,5
[ksy fo/kk dk uke,4
क्र.सं.,4
क्र.सं,4
bosUV,3
"Ø0
laa0",3
dqy ;ksx,3
"खेल विधा 
का नाम",3
प्रशिक्षक,3
"सामान्य/कुशल खिलाडी
कुल योग",3
vk;kstu LFky,2
dc ls,2
dc rd,2
fooj.k,2
vH;FkhZ dk uke o in,2
esMy dk uke,2
izfr;ksfxrk dk fooj.k,2
vH;FkhZ ls lEcfU/kr jkT; dk uke,2
"अभ्यास स्थल/टीम प्रभारी
 का नाम",2
अन्तर्राष्ट्रीय,2
राष्ट्रीय,2
खेल विधा,2
नाम,2
पिता का नाम,2
भर्ती तिथि,2
नियुक्ति जनपद,2
गृह जनपद,2
वर्तमान स्थिति,2
-,2
पीएनओ,2
Ø0laa0,1
[ksy fo/kk okj,1
Lo.kZ,1
jtr,1
dkaL;,1
dqy ind,1
f[kykMh dk uke,1
[ksy,1
अभ्यास स्थल/टीम प्रभारी का नाम,1
खेल विधा का नाम,1
योग,1
स्पर्धा,1
383,1
एस.सी.बी.,1
उत्तर प्रदेश पुलिस खेल विकास कोष,1
अभ्यास स्थल,1
EVENT का नाम,1
अधि०/कर्म० का नाम,1
ट्रैकशूट,1
जूता,1
किट सेट,1
