workbook,sheet,header_row,col,col_letter,text
2019 se 2025 (1).xlsx,international,2,1,A,"Ø0
la0"
2019 se 2025 (1).xlsx,international,2,2,B,f[kykMh dk izdkj
2019 se 2025 (1).xlsx,international,2,3,C,Li/kkZ
2019 se 2025 (1).xlsx,international,2,4,D,"ih,uvks"
2019 se 2025 (1).xlsx,international,2,5,E,in o uke
2019 se 2025 (1).xlsx,international,2,6,F,izfr;ksfxrk dk uke
2019 se 2025 (1).xlsx,international,2,7,G,LFkku
2019 se 2025 (1).xlsx,international,2,8,H,fnukad
2019 se 2025 (1).xlsx,international,2,9,I,"o""kZ"
2019 se 2025 (1).xlsx,international,2,10,J,bosUV
2019 se 2025 (1).xlsx,international,2,11,K,esMy
2019 se 2025 (1).xlsx,national,1,1,A,"jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k"
2019 se 2025 (1).xlsx,national,1,2,B,"jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k"
2019 se 2025 (1).xlsx,national,1,3,C,"jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k"
2019 se 2025 (1).xlsx,national,1,4,D,"jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k"
2019 se 2025 (1).xlsx,national,1,5,E,"jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k"
2019 se 2025 (1).xlsx,national,1,6,F,"jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k"
2019 se 2025 (1).xlsx,national,1,7,G,"jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k"
2019 se 2025 (1).xlsx,national,1,8,H,"jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k"
2019 se 2025 (1).xlsx,national,1,9,I,"jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k"
2019 se 2025 (1).xlsx,national,1,10,J,"jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k"
2019 se 2025 (1).xlsx,national,1,11,K,"jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k"
2019 se 2025 (1).xlsx,national,1,12,L,"jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k"
2019 se 2025 (1).xlsx,all india police,3,1,A,"Ø0
la0"
2019 se 2025 (1).xlsx,all india police,3,2,B,f[kykMh dk izdkj
2019 se 2025 (1).xlsx,all india police,3,3,C,[ksy fo/kk
2019 se 2025 (1).xlsx,all india police,3,4,D,"ih,uvks"
2019 se 2025 (1).xlsx,all india police,3,5,E,in o uke
2019 se 2025 (1).xlsx,all india police,3,6,F,izfr;ksfxrk dk uke
2019 se 2025 (1).xlsx,all india police,3,7,G,LFkku
2019 se 2025 (1).xlsx,all india police,3,8,H,fnukad
2019 se 2025 (1).xlsx,all india police,3,9,I,"o""kZ"
2019 se 2025 (1).xlsx,all india police,3,10,J,Li/kkZ
2019 se 2025 (1).xlsx,all india police,3,11,K,Iknd
2019 se 2025 (1).xlsx,other,2,1,A,"Ø0
la0"
2019 se 2025 (1).xlsx,other,2,2,B,f[kykMh dk izdkj
2019 se 2025 (1).xlsx,other,2,3,C,[ksy fo/kk dk uke
2019 se 2025 (1).xlsx,other,2,4,D,"ih,uvks"
2019 se 2025 (1).xlsx,other,2,5,E,"ih,uvks"
2019 se 2025 (1).xlsx,other,2,6,F,in o uke
2019 se 2025 (1).xlsx,other,2,7,G,izfr;ksfxrk dk uke
2019 se 2025 (1).xlsx,other,2,8,H,LFkku
2019 se 2025 (1).xlsx,other,2,9,I,fnukad
2019 se 2025 (1).xlsx,other,2,10,J,"o""kZ"
2019 se 2025 (1).xlsx,other,2,11,K,vk;kstu LFky
2019 se 2025 (1).xlsx,other,2,12,L,dc ls
2019 se 2025 (1).xlsx,other,2,13,M,dc rd
2019 se 2025 (1).xlsx,other,2,14,N,"o""kZ"
2019 se 2025 (1).xlsx,other,2,15,O,Li/kkZ
2019 se 2025 (1).xlsx,other,2,16,P,esMy
2019 se 2025 (1).xlsx,other,2,17,Q,fooj.k
2019 se 2025 (1).xlsx,AIP sankhyatmak,3,1,A,Ø0laa0
2019 se 2025 (1).xlsx,AIP sankhyatmak,3,2,B,izfr;ksfxrk dk uke
2019 se 2025 (1).xlsx,AIP sankhyatmak,3,3,C,[ksy fo/kk okj
2019 se 2025 (1).xlsx,AIP sankhyatmak,3,4,D,Lo.kZ
2019 se 2025 (1).xlsx,AIP sankhyatmak,3,5,E,jtr
2019 se 2025 (1).xlsx,AIP sankhyatmak,3,6,F,dkaL;
2019 se 2025 (1).xlsx,AIP sankhyatmak,3,7,G,dqy ind
2019 se 2025 (1).xlsx,AIP sankhyatmak,3,8,H,;ksx
2019 se 2025 (1).xlsx,2024,2,1,A,dq'rh
2019 se 2025 (1).xlsx,2024,2,2,B,dq'rh
2019 se 2025 (1).xlsx,2024,2,3,C,dq'rh
2019 se 2025 (1).xlsx,2024,2,4,D,dq'rh
2019 se 2025 (1).xlsx,2024,2,5,E,dq'rh
2019 se 2025 (1).xlsx,2023,2,1,A,dq'rh
2019 se 2025 (1).xlsx,2023,2,2,B,dq'rh
2019 se 2025 (1).xlsx,2023,2,3,C,dq'rh
2019 se 2025 (1).xlsx,2023,2,4,D,dq'rh
2019 se 2025 (1).xlsx,1-1-24 to 31-7-24,4,1,A,"Ø0
laa0"
2019 se 2025 (1).xlsx,1-1-24 to 31-7-24,4,2,B,"vUrjkZ""Vªh;"
2019 se 2025 (1).xlsx,1-1-24 to 31-7-24,4,3,C,"vUrjkZ""Vªh;"
2019 se 2025 (1).xlsx,1-1-24 to 31-7-24,4,4,D,"vUrjkZ""Vªh;"
2019 se 2025 (1).xlsx,1-1-24 to 31-7-24,4,5,E,;ksx
2019 se 2025 (1).xlsx,1-1-24 to 31-7-24,4,6,F,"jk""Vªh;"
2019 se 2025 (1).xlsx,1-1-24 to 31-7-24,4,7,G,"jk""Vªh;"
2019 se 2025 (1).xlsx,1-1-24 to 31-7-24,4,8,H,"jk""Vªh;"
2019 se 2025 (1).xlsx,1-1-24 to 31-7-24,4,9,I,;ksx
2019 se 2025 (1).xlsx,1-1-24 to 31-7-24,4,10,J,vf[ky Hkkjrh; iqfyl
2019 se 2025 (1).xlsx,1-1-24 to 31-7-24,4,11,K,vf[ky Hkkjrh; iqfyl
2019 se 2025 (1).xlsx,1-1-24 to 31-7-24,4,12,L,vf[ky Hkkjrh; iqfyl
2019 se 2025 (1).xlsx,1-1-24 to 31-7-24,4,13,M,;ksx
2019 se 2025 (1).xlsx,1-1-24 to 31-7-24,4,14,N,dqy ;ksx
2019 se 2025 (1).xlsx,2025,1,1,A,38osa us'kuy xsEl 2025
2019 se 2025 (1).xlsx,2025,1,2,B,38osa us'kuy xsEl 2025
2019 se 2025 (1).xlsx,2025,1,3,C,38osa us'kuy xsEl 2025
2019 se 2025 (1).xlsx,2025,1,4,D,38osa us'kuy xsEl 2025
2019 se 2025 (1).xlsx,2025,1,5,E,38osa us'kuy xsEl 2025
2019 se 2025 (1).xlsx,Sheet1,2,1,A,"jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k"
2019 se 2025 (1).xlsx,Sheet1,2,2,B,"jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k"
2019 se 2025 (1).xlsx,Sheet1,2,3,C,"jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k"
2019 se 2025 (1).xlsx,Sheet1,2,4,D,"jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k"
2019 se 2025 (1).xlsx,Sheet1,2,5,E,"jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k"
2019 se 2025 (1).xlsx,Sheet1,2,6,F,"jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k"
2019 se 2025 (1).xlsx,Sheet1,2,7,G,"jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k"
2019 se 2025 (1).xlsx,Sheet1,2,8,H,"jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k"
2019 se 2025 (1).xlsx,Sheet1,2,9,I,"jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k"
2019 se 2025 (1).xlsx,Sheet1,2,10,J,"jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k"
2019 se 2025 (1).xlsx,Sheet1,2,11,K,"jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k"
2019 se 2025 (1).xlsx,Sheet2,3,1,A,"Ø0
la0"
2019 se 2025 (1).xlsx,Sheet2,3,2,B,f[kykMh dk izdkj
2019 se 2025 (1).xlsx,Sheet2,3,3,C,Li/kkZ
2019 se 2025 (1).xlsx,Sheet2,3,4,D,"ih,uvks"
2019 se 2025 (1).xlsx,Sheet2,3,5,E,in o uke
2019 se 2025 (1).xlsx,Sheet2,3,6,F,izfr;ksfxrk dk uke
2019 se 2025 (1).xlsx,Sheet2,3,7,G,LFkku
2019 se 2025 (1).xlsx,Sheet2,3,8,H,fnukad
2019 se 2025 (1).xlsx,Sheet2,3,9,I,"o""kZ"
2019 se 2025 (1).xlsx,Sheet2,3,10,J,bosUV
2019 se 2025 (1).xlsx,Sheet2,3,11,K,esMy
2019 se 2025 (1).xlsx,Sheet3,3,1,A,"Ø0
la0"
2019 se 2025 (1).xlsx,Sheet3,3,2,B,f[kykMh dk izdkj
2019 se 2025 (1).xlsx,Sheet3,3,3,C,[ksy fo/kk
2019 se 2025 (1).xlsx,Sheet3,3,4,D,"ih,uvks"
2019 se 2025 (1).xlsx,Sheet3,3,5,E,in o uke
2019 se 2025 (1).xlsx,Sheet3,3,6,F,izfr;ksfxrk dk uke
2019 se 2025 (1).xlsx,Sheet3,3,7,G,LFkku
2019 se 2025 (1).xlsx,Sheet3,3,8,H,fnukad
2019 se 2025 (1).xlsx,Sheet3,3,9,I,"o""kZ"
2019 se 2025 (1).xlsx,Sheet3,3,10,J,Li/kkZ
2019 se 2025 (1).xlsx,Sheet3,3,11,K,Iknd
2019 se 2025 (1).xlsx,Sheet4,3,1,A,क्र.सं.
2019 se 2025 (1).xlsx,Sheet4,3,2,B,vH;FkhZ dk uke o in
2019 se 2025 (1).xlsx,Sheet4,3,3,C,[ksy fo/kk dk uke
2019 se 2025 (1).xlsx,Sheet4,3,4,D,esMy dk uke
2019 se 2025 (1).xlsx,Sheet4,3,5,E,izfr;ksfxrk dk fooj.k
2019 se 2025 (1).xlsx,Sheet4,3,6,F,vH;FkhZ ls lEcfU/kr jkT; dk uke
2019 se 2025 (1).xlsx,Sheet5,3,1,A,क्र.सं.
2019 se 2025 (1).xlsx,Sheet5,3,2,B,vH;FkhZ dk uke o in
2019 se 2025 (1).xlsx,Sheet5,3,3,C,[ksy fo/kk dk uke
2019 se 2025 (1).xlsx,Sheet5,3,4,D,esMy dk uke
2019 se 2025 (1).xlsx,Sheet5,3,5,E,izfr;ksfxrk dk fooj.k
2019 se 2025 (1).xlsx,Sheet5,3,6,F,vH;FkhZ ls lEcfU/kr jkT; dk uke
2019 se 2025 (1).xlsx,Sheet6,1,1,A,"o""kZ&2024"
2019 se 2025 (1).xlsx,Sheet6,1,2,B,"o""kZ&2024"
2019 se 2025 (1).xlsx,Sheet6,1,3,C,"o""kZ&2024"
2019 se 2025 (1).xlsx,Sheet6,1,4,D,"o""kZ&2024"
2019 se 2025 (1).xlsx,Sheet6,1,5,E,"o""kZ&2024"
2019 se 2025 (1).xlsx,Sheet6,1,6,F,"o""kZ&2024"
2019 se 2025 (1).xlsx,Sheet6,1,7,G,"o""kZ&2024"
2019 se 2025 (1).xlsx,Sheet6,1,8,H,"o""kZ&2024"
2019 se 2025 (1).xlsx,Sheet6,1,9,I,"o""kZ&2024"
2019 se 2025 (1).xlsx,Sheet6 (2),1,1,A,vkj{kh lfpu ;kno }kjk vftZr indksa dk fooj.k
2019 se 2025 (1).xlsx,Sheet6 (2),1,2,B,vkj{kh lfpu ;kno }kjk vftZr indksa dk fooj.k
2019 se 2025 (1).xlsx,Sheet6 (2),1,3,C,vkj{kh lfpu ;kno }kjk vftZr indksa dk fooj.k
2019 se 2025 (1).xlsx,Sheet6 (2),1,4,D,vkj{kh lfpu ;kno }kjk vftZr indksa dk fooj.k
2019 se 2025 (1).xlsx,Sheet6 (2),1,5,E,vkj{kh lfpu ;kno }kjk vftZr indksa dk fooj.k
2019 se 2025 (1).xlsx,Sheet6 (2),1,6,F,vkj{kh lfpu ;kno }kjk vftZr indksa dk fooj.k
2019 se 2025 (1).xlsx,Sheet6 (2),1,7,G,vkj{kh lfpu ;kno }kjk vftZr indksa dk fooj.k
2019 se 2025 (1).xlsx,Sheet6 (2),1,8,H,vkj{kh lfpu ;kno }kjk vftZr indksa dk fooj.k
2019 se 2025 (1).xlsx,Sheet7,3,1,A,"Ø0
laa0"
2019 se 2025 (1).xlsx,Sheet7,3,2,B,[ksy fo/kk
2019 se 2025 (1).xlsx,Sheet7,3,3,C,f[kykMh dk uke
2019 se 2025 (1).xlsx,Sheet7,3,4,D,"vUrjkZ""Vªh;"
2019 se 2025 (1).xlsx,Sheet7,3,5,E,"vUrjkZ""Vªh;"
2019 se 2025 (1).xlsx,Sheet7,3,6,F,"vUrjkZ""Vªh;"
2019 se 2025 (1).xlsx,Sheet7,3,7,G,;ksx
2019 se 2025 (1).xlsx,Sheet7,3,8,H,"jk""Vªh;"
2019 se 2025 (1).xlsx,Sheet7,3,9,I,"jk""Vªh;"
2019 se 2025 (1).xlsx,Sheet7,3,10,J,"jk""Vªh;"
2019 se 2025 (1).xlsx,Sheet7,3,11,K,;ksx
2019 se 2025 (1).xlsx,Sheet7,3,12,L,vf[ky Hkkjrh; iqfyl
2019 se 2025 (1).xlsx,Sheet7,3,13,M,vf[ky Hkkjrh; iqfyl
2019 se 2025 (1).xlsx,Sheet7,3,14,N,vf[ky Hkkjrh; iqfyl
2019 se 2025 (1).xlsx,Sheet7,3,15,O,;ksx
2019 se 2025 (1).xlsx,Sheet7,3,16,P,dqy ;ksx
2019 se 2025 (1).xlsx,Sheet8 (2),2,1,A,"Ø0
la0"
2019 se 2025 (1).xlsx,Sheet8 (2),2,2,B,[ksy fo/kk
2019 se 2025 (1).xlsx,Sheet8 (2),2,3,C,"ih,uvks"
2019 se 2025 (1).xlsx,Sheet8 (2),2,4,D,in o uke
2019 se 2025 (1).xlsx,Sheet8 (2),2,5,E,izfr;ksfxrk dk uke
2019 se 2025 (1).xlsx,Sheet8 (2),2,6,F,LFkku
2019 se 2025 (1).xlsx,Sheet8 (2),2,7,G,fnukad
2019 se 2025 (1).xlsx,Sheet8 (2),2,8,H,"o""kZ"
2019 se 2025 (1).xlsx,Sheet8 (2),2,9,I,Li/kkZ
2019 se 2025 (1).xlsx,Sheet8 (2),2,10,J,Iknd
2019 se 2025 (1).xlsx,Sheet8,2,1,A,"Ø0
la0"
2019 se 2025 (1).xlsx,Sheet8,2,2,B,f[kykMh dk izdkj
2019 se 2025 (1).xlsx,Sheet8,2,3,C,[ksy fo/kk
2019 se 2025 (1).xlsx,Sheet8,2,4,D,"ih,uvks"
2019 se 2025 (1).xlsx,Sheet8,2,5,E,in o uke
2019 se 2025 (1).xlsx,Sheet8,2,6,F,izfr;ksfxrk dk uke
2019 se 2025 (1).xlsx,Sheet8,2,7,G,LFkku
2019 se 2025 (1).xlsx,Sheet8,2,8,H,fnukad
2019 se 2025 (1).xlsx,Sheet8,2,9,I,"o""kZ"
2019 se 2025 (1).xlsx,Sheet8,2,10,J,Li/kkZ
2019 se 2025 (1).xlsx,Sheet8,2,11,K,Iknd
2019 se 2025 (1).xlsx,Sheet9,2,1,A,"Ø0
la0"
2019 se 2025 (1).xlsx,Sheet9,2,2,B,f[kykMh dk izdkj
2019 se 2025 (1).xlsx,Sheet9,2,3,C,[ksy fo/kk
2019 se 2025 (1).xlsx,Sheet9,2,4,D,"ih,uvks"
2019 se 2025 (1).xlsx,Sheet9,2,5,E,in o uke
2019 se 2025 (1).xlsx,Sheet9,2,6,F,izfr;ksfxrk dk uke
2019 se 2025 (1).xlsx,Sheet9,2,7,G,LFkku
2019 se 2025 (1).xlsx,Sheet9,2,8,H,fnukad
2019 se 2025 (1).xlsx,Sheet9,2,9,I,"o""kZ"
2019 se 2025 (1).xlsx,Sheet9,2,10,J,Li/kkZ
2019 se 2025 (1).xlsx,Sheet9,2,11,K,Iknd
2026 (1).xlsx,international,2,1,A,"Ø0
la0"
2026 (1).xlsx,international,2,2,B,f[kykMh dk izdkj
2026 (1).xlsx,international,2,3,C,[ksy
2026 (1).xlsx,international,2,4,D,"ih,uvks"
2026 (1).xlsx,international,2,5,E,in o uke
2026 (1).xlsx,international,2,6,F,izfr;ksfxrk dk uke
2026 (1).xlsx,international,2,7,G,LFkku
2026 (1).xlsx,international,2,8,H,fnukad
2026 (1).xlsx,international,2,9,I,"o""kZ"
2026 (1).xlsx,international,2,10,J,bosUV
2026 (1).xlsx,international,2,11,K,esMy
2026 (1).xlsx,national,1,1,A,"jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k"
2026 (1).xlsx,national,1,2,B,"jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k"
2026 (1).xlsx,national,1,3,C,"jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k"
2026 (1).xlsx,national,1,4,D,"jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k"
2026 (1).xlsx,national,1,5,E,"jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k"
2026 (1).xlsx,national,1,6,F,"jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k"
2026 (1).xlsx,national,1,7,G,"jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k"
2026 (1).xlsx,national,1,8,H,"jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k"
2026 (1).xlsx,national,1,9,I,"jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k"
