,,,,,,,,,,,,,
fnukad 01-07-2024 ls 30-09-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-07-2024 ls 30-09-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-07-2024 ls 30-09-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-07-2024 ls 30-09-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-07-2024 ls 30-09-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-07-2024 ls 30-09-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-07-2024 ls 30-09-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-07-2024 ls 30-09-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-07-2024 ls 30-09-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-07-2024 ls 30-09-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-07-2024 ls 30-09-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-07-2024 ls 30-09-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-07-2024 ls 30-09-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-07-2024 ls 30-09-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k
,,,,,,,,,,,,,
"Ø0
laa0","vUrjkZ""Vªh;","vUrjkZ""Vªh;","vUrjkZ""Vªh;",;ksx,"jk""Vªh;","jk""Vªh;","jk""Vªh;",;ksx,vf[ky Hkkjrh; iqfyl,vf[ky Hkkjrh; iqfyl,vf[ky Hkkjrh; iqfyl,;ksx,dqy ;ksx
"Ø0
laa0",Lo.kZ ,jtr,dkaL;,;ksx,Lo.kZ ,jtr,dkaL;,;ksx,Lo.kZ ,jtr,dkaL;,;ksx,dqy ;ksx
1,0,0,2,2,3,6,6,15,20,22,24,66,83
,,,,,,,,,,,,,
,,,,,,,,,,,,,
fnukad 01-01-2024 ls 31-10-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-01-2024 ls 31-10-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-01-2024 ls 31-10-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-01-2024 ls 31-10-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-01-2024 ls 31-10-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-01-2024 ls 31-10-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-01-2024 ls 31-10-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-01-2024 ls 31-10-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-01-2024 ls 31-10-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-01-2024 ls 31-10-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-01-2024 ls 31-10-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-01-2024 ls 31-10-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-01-2024 ls 31-10-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,fnukad 01-01-2024 ls 31-10-2024 rd m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k
,,,,,,,,,,,,,
"Ø0
laa0","vUrjkZ""Vªh;","vUrjkZ""Vªh;","vUrjkZ""Vªh;",;ksx,"jk""Vªh;","jk""Vªh;","jk""Vªh;",;ksx,vf[ky Hkkjrh; iqfyl,vf[ky Hkkjrh; iqfyl,vf[ky Hkkjrh; iqfyl,;ksx,dqy ;ksx
"Ø0
laa0",Lo.kZ ,jtr,dkaL;,;ksx,Lo.kZ ,jtr,dkaL;,;ksx,Lo.kZ ,jtr,dkaL;,;ksx,dqy ;ksx
