72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 fnukad 04 ls 08 vDVwcj  e/kqcu ¼djuky½ gfj;k.kk,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 fnukad 04 ls 08 vDVwcj  e/kqcu ¼djuky½ gfj;k.kk,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 fnukad 04 ls 08 vDVwcj  e/kqcu ¼djuky½ gfj;k.kk,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 fnukad 04 ls 08 vDVwcj  e/kqcu ¼djuky½ gfj;k.kk
dq'rh,dq'rh,dq'rh,dq'rh
Ø0la0,in o uke,Li/kkZ,Iknd
1-,e-eq-vk- bUnw pkS/kjh,50fdxzk-,jtr
2,e-vk- lk{kh,62fdxzk,Lo.kZ
3,e-vk- lhek,65fdxzk,dkaL;
HkkjksRrksyu,HkkjksRrksyu,HkkjksRrksyu,HkkjksRrksyu
1,vk- c`ts”k dqekj,89fdxzk-,jtr
ckfDalx,ckfDalx,ckfDalx,ckfDalx
1,vk- fou; pkS/kjh,60&63-5fdxzk,dkaL;
ckMh fcfYMax,ckMh fcfYMax,ckMh fcfYMax,ckMh fcfYMax
1,vk- f”koe eku,upto 100 fdxzk-,dkaL;
2,eq-vk- lanhi pkS/kjh,upto 90 fdxzk-,jtr
3,vk- fjadw HkkVh,upto 90 fdxzk-,dkaL;
vkeZ jsfLyax,vkeZ jsfLyax,vkeZ jsfLyax,vkeZ jsfLyax
1,vk- jktho,55fdxzk,jtr
2,vk fodkl ukxj,110fdxzk-,Lo.kZ
3,vk- vfouk”k nqcs,75fdxzk-,dkL;
4,vk- jkgqy dqekj,90fdxzk-,jtr 
5,e-vk- :fp pkSgku,50fdxzk-,dkaL;
6,e-vk- nhik pkS/kjh,$80fdxzk-,Lo.kZ
ikoj fyf¶Vax,ikoj fyf¶Vax,ikoj fyf¶Vax,ikoj fyf¶Vax
1,vk- iou dqekj “kekZ,66fdxzk-,Lo.kZ
2,vk- “kqHke efyd ,74fdxzk,Lo.kZ
3,vk- fo”kky pkS/kjh,83 fdxzk-,Lo.kZ
4,vk0 lkSjo pkS/kjh,120fdxzk- ,jtr 
5,e-vk- “khry ijekj,47fdxzk-,dkaL;
6,e-vk- ljyk tknkSu,52fdxzk- ,jtr 
7,e-vk- nh{kk xqIrk,63fdxzk-,jtr
