73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 fnukad 09 ls 13 flrEcj] y[kuÅ,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 fnukad 09 ls 13 flrEcj] y[kuÅ,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 fnukad 09 ls 13 flrEcj] y[kuÅ,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 fnukad 09 ls 13 flrEcj] y[kuÅ,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 fnukad 09 ls 13 flrEcj] y[kuÅ
dq'rh,dq'rh,dq'rh,dq'rh,dq'rh
Ø0la0,,in o uke,Li/kkZ,Iknd
1,234100255,vk- vuwi dqekj,55 fdxzk-,Lo.kZ
2,232510168,vk- vafdr,63 fdxzk-,jtr
3,232510171,vk- lfpu,67 fdxzk-,Lo.kZ
4,232330571,vk- eksfgr [kks[kj,97 fdxzk-,Lo.kZ
5,234240438,vk- fo'kky lkguh,57 fdxzk-,Lo.kZ
6,232510054,vk- jfoUnz dqekj,61 fdxzk-,Lo.kZ
7,232290170,"vk- vk;q""k dqekj",65 fdxzk-,Lo.kZ
8,232510038,"vk- vfHk""ksd",70 fdxzk-,Lo.kZ
9,232031810,vk- rstohj flag ;kno,74 fdxzk-,dkaL;
10,232510070,vk- vejiky,79 fdxzk-,dkaL;
11,232031807,vk- xksfoUn,86 fdxzk-,jtr
12,232010150,e-vk- fiz;ka'kh iztkifr,53,jtr
13,232510403,e-vk- laxhrk,55,jtr
14,232032073,e-vk- ekulh ;kno,55,dkaL;
15,234103599,"e-vk- iq""ik ;kno",62,dkaL;
16,232510275,e-vk- latw nsoh,65,Lo.kZ
17,232510344,e-vk- fu'kk,72,dkaL;
18,192611044,e-vk- fjpk 'kekZ,50,dkaL;
19,182664335,e-vk- uhye rksej,76,jtr
vkeZ jslfyax,vkeZ jslfyax,vkeZ jslfyax,vkeZ jslfyax,vkeZ jslfyax
1,194060053,vk- vt; iky,55 fdxzk-,Lo.kZ
2,112761530,e-eq-vk- nhik pkS/kjh,80$ fdxzk-,Lo.kZ
3,191860344,eq-vk- fodkl ukxj,110 fdxzk-,jtr
4,212022946,vk- 'kqHke ukxj,100 fdxzk-,dkaL;
5,052330197,eq-vk- latho rsofr;k,110$ fdxzk-,dkaL;
6,190732750,vk- jkgqy dqekj,85 fdxzk-,Lo.kZ
7,190754963,vk- jkgqy jkds'k,80 fdxzk-,jtr
ckfDalx,ckfDalx,ckfDalx,ckfDalx,ckfDalx
1,232330157,आ. जावेद,51 fdxzk-,dkaL;
2,232330135,आ गगनदीप,71 fdxzk-,jtr
3,232330018,आ रॉकी चौधरी,80fdxzk-,jtr
4,232650080,आ कृष्णा सिंह,86fdxzk-,jtr
5,232330223,आ. सुनील चौहान,60 fdxzk-,dkaL;
6,234130229,आ. सक्षम सिंह,67 fdxzk-,dkaL;
7,234240353,आ. विशाल यादव,92 fdxzk-,dkaL;
8,232510706,म.आ. कुसुम,54 fdxzk-,dkaL;
9,232510559,म.आ. सिवी,60 fdxzk-,dkaL;
ckMh fcfYMax,ckMh fcfYMax,ckMh fcfYMax,ckMh fcfYMax,ckMh fcfYMax
1,062018047,मु आ सन्दीप कुमार,100 fdxzk-,jtr
2,162332373,आ रिंकू भाटी,90 fdxzk-,dkaL;
01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024 fnukad 23 ls 27 flrEcj] nqxZ] fHkykbZ,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024 fnukad 23 ls 27 flrEcj] nqxZ] fHkykbZ,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024 fnukad 23 ls 27 flrEcj] nqxZ] fHkykbZ,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024 fnukad 23 ls 27 flrEcj] nqxZ] fHkykbZ,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024 fnukad 23 ls 27 flrEcj] nqxZ] fHkykbZ
HkkjksRrksyu,HkkjksRrksyu,HkkjksRrksyu,HkkjksRrksyu,HkkjksRrksyu
1,232030208,vk- jksfgr dqekj ;kno,55 fdxzk-,jtr
2,234240294,vk- lqns'k dqekj ik.Ms;,61 fdxzk-,dkaL;
3,234240236,e-vk- jk/kk lksuh,49 fdxzk-,dkaL;
4,232010105,e-vk- 'kkfyuh,55 fdxzk-,jtr
5,232510605,vk- izos'k cSlks;k,73 fdxzk-,dkaL;
6,232650107,vk- vkdk'k,81 fdxzk-,dkaL;
