"o""kZ 2023&24 esa vk;ksftr vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k","o""kZ 2023&24 esa vk;ksftr vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k","o""kZ 2023&24 esa vk;ksftr vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k","o""kZ 2023&24 esa vk;ksftr vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k","o""kZ 2023&24 esa vk;ksftr vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k","o""kZ 2023&24 esa vk;ksftr vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k","o""kZ 2023&24 esa vk;ksftr vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k","o""kZ 2023&24 esa vk;ksftr vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k"
,,,,,,,
Ø0laa0,izfr;ksfxrk dk uke,[ksy fo/kk okj,Lo.kZ ,jtr,dkaL;,dqy ind,;ksx
1,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 fnukad 04 ls 08 vDVwcj  e/kqcu¼djuky½ gfj;k.kk,dq'rh,1,1,1,3,21
1,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 fnukad 04 ls 08 vDVwcj  e/kqcu¼djuky½ gfj;k.kk,HkkjksRrksyu,0,1,0,1,21
1,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 fnukad 04 ls 08 vDVwcj  e/kqcu¼djuky½ gfj;k.kk,ckfDalx,0,0,1,1,21
1,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 fnukad 04 ls 08 vDVwcj  e/kqcu¼djuky½ gfj;k.kk,ckWMh fcfYMax,0,1,2,3,21
1,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 fnukad 04 ls 08 vDVwcj  e/kqcu¼djuky½ gfj;k.kk,vkeZ jsfLyax,2,2,2,6,21
1,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 fnukad 04 ls 08 vDVwcj  e/kqcu¼djuky½ gfj;k.kk,ikoj fyf¶Vax,3,3,1,7,21
2,12oha vf[ky Hkkjrh; iqfyl vkpZjh izfr;ksfxrk&2023&24 fnukad 30-01-2024 ls 04-02-2024 rd cSxyksj] dukZVd,vkpZjh,3,4,1,8,8
3,"67oha vf[ky Hkkjrh; iqfyl M~;wVhehV izfr;ksfxrk&2023&24 fnukad 12-02-2024 ls 16-02-2024 rd vkj-ih-,Q- y[kuÅ",M~;wVhehV,3,1,,4,4
