,,,,,,,,,,
"jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k"
"Ø0
la0",f[kykMh dk izdkj,[ksy fo/kk,"ih,uvks",in o uke,izfr;ksfxrk dk uke,LFkku,fnukad,"o""kZ",Li/kkZ,esMy
1,2,3,5,6,7,8,9,10,11,12
1,lkekU;,vkpZjh,,vkj{kh t;nhi dq'kokgk,"42oha ,uVhihlh lhfu;j us'kuy vkpZjh pSfEi;uf'ki",xqtjkr,09-03-2023 ls 18-03-2023,2023,,dkaL;
2,dq-f[k-,vkpZjh,,Js; Hkkj}kt,37osa us'kuy xsEl esa >kj[k.M Vhe dh vksj ls,,27-10-2023 ls 8-11-2023,2023,,jtr
3,lkekU;,vkpZjh,160450846,जयदीप कुशवाहा,44वीं सीनियर नेशनल तीरंदाजी प्रतियोगिता 2024,"जमसेदपुर, झारखण्ड",16.12.2024 से 20.12.2024,2024,इण्डियन राउण्ड टीम इवेन्ट (पुरूष),Lo.kZ
4,lkekU;,vkpZjh,160450846,जयदीप कुशवाहा,44वीं सीनियर नेशनल तीरंदाजी प्रतियोगिता 2024,"जमसेदपुर, झारखण्ड",16.12.2024 से 20.12.2024,2024,इण्डियन राउण्ड 30 मीटर (पुरूष),jtr
5,lkekU;,vkpZjh,190480864,डब्बूराम,44वीं सीनियर नेशनल तीरंदाजी प्रतियोगिता 2024,"जमसेदपुर, झारखण्ड",16.12.2024 से 20.12.2024,2024,इण्डियन राउण्ड टीम इवेन्ट (पुरूष),jtr
6,dq-f[k-,vkpZjh,232030064,दीपिका पाण्डेय,44वीं सीनियर नेशनल तीरंदाजी प्रतियोगिता 2024,"जमसेदपुर, झारखण्ड",16.12.2024 से 20.12.2024,2024,इण्डियन राउण्ड 30 मीटर (महिला),jtr
7,dq-f[k-,vkpZjh,232030064,दीपिका पाण्डेय,44वीं सीनियर नेशनल तीरंदाजी प्रतियोगिता 2024,"जमसेदपुर, झारखण्ड",16.12.2024 से 20.12.2024,2024,इण्डियन राउण्ड 50 मीटर (महिला),dkaL;
8,dq-f[k-,vkpZjh,232030309,lkSjHk ekS;kZ,"43oha ,uVhih,lh twfu;j us'kuy rhjankth izfr;ksfxrk",Hkjriqj jktLFkku,15-11-2023 ls 22-11-2023,2023,,Lo.kZ
9,dq-f[k-,vkpZjh,232030309,lkSjHk ekS;kZ,37os us'kuy xsEl,xksok,27-10-2023 ls 07-11-2023,2023,O;fDrxr vksyfEid jkm.M,jtr
