,,,,,,,,,,,
"vUrjkZ""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","vUrjkZ""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","vUrjkZ""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","vUrjkZ""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","vUrjkZ""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","vUrjkZ""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","vUrjkZ""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","vUrjkZ""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","vUrjkZ""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","vUrjkZ""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","vUrjkZ""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k",
"Ø0
la0",f[kykMh dk izdkj,Li/kkZ,"ih,uvks",in o uke,izfr;ksfxrk dk uke,LFkku,fnukad,"o""kZ",bosUV,esMy,
1,2,,,3,4,,5,7,,8,
1,lkekU;,"cSMfeUVu
¼McYl½",,vkj{kh xxu ikloku,"oYMZ iqfyl ,.M Qk;j xsEl 2022",uhnjyS.M,22-7-2022 ls 31-7-2022 rd uhnjyS.M,2022,&,dkaL;,
2,lkekU;,10 fdeh- ØkWld.Vªh,,vkj{kh cyjke,"16oha ,f'k;u Økld.Vªh pSfEi;uf'ki 2023",usiky,07-03-2023 usiky,2023,&,dkaL;,
3,lkekU;,vkpZjh,,vkj{kh t;nhi dq'kokgk,"oYMZ iqfyl ,.M Qk;j xsEl 2023",fofuisx] dukMk,28-07-2023 ls 6-08-2023 rd fofuisx dukMk,2023,&,jtr,
4,lkekU;,vkpZjh,,vkj{kh t;nhi dq'kokgk,"oYMZ iqfyl ,.M Qk;j xsEl 2023",fofuisx] dukMk,28-07-2023 ls 6-08-2023 rd fofuisx dukMk,2023,&,Lo.kZ,
5,lkekU;,vkpZjh,,vkj{kh t;nhi dq'kokgk,"oYMZ iqfyl ,.M Qk;j xsEl 2023",fofuisx] dukMk,28-07-2023 ls 6-08-2023 rd fofuisx dukMk,2023,&,Lo.kZ,
6,lkekU;,,,efgyk vkj{kh lfjrk 'kekZ,"oYMZ iqfyl ,.M Qk;j xsEl 2023",fofuisx] dukMk,28-07-2023 ls 6-08-2023 rd fofuisx dukMk,2023,&,Lo.kZ,
7,lkekU;,,,Dysp tVk'kadj feJ ,"oYMZ iqfyl ,.M Qk;j xsEl 2023",fofuisx] dukMk,28-07-2023 ls 6-08-2023 rd fofuisx dukMk,2023,&,jtr,
8,lkekU;,,,vkj{kh vHk; izrki flag,"oYMZ iqfyl ,.M Qk;j xsEl 2023",fofuisx] dukMk,28-07-2023 ls 6-08-2023 rd fofuisx dukMk,2023,&,Lo.kZ,
