vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k
,,,,,,,,,,
"Ø0
la0",f[kykMh dk izdkj,[ksy fo/kk,"ih,uvks",in o uke,izfr;ksfxrk dk uke,LFkku,fnukad,"o""kZ",Li/kkZ,Iknd
1,2,3,,4,5,,6,7,9,10
1,lkekU;,शूटिंग,&,दलनायक जयचन्द्र शर्मा,23वीं अखिल भारतीय पुलिस शूटिंग ड्यूटी मीट-2022-23,तमिलनाडू,09.01.23 से 13.01.23,2023,स्नैप शूटिंग 50 यार्ड कार्बाइन,dkaL;
2,lkekU;,बैडमिन्टन,&,म.आ.नन्दनी यादव,15वीं अखिल भारतीय पुलिस बैडमिन्टन प्रतियोगिता-2022-23,चण्डीगढ,20.02.23 से 26.02.23,2023,व्यक्तिगत,Lo.kZ
3,lkekU;,बैडमिन्टन,&,म.आ.आरती सिंह पाल,15वीं अखिल भारतीय पुलिस बैडमिन्टन प्रतियोगिता-2022-23,चण्डीगढ,20.02.23 से 26.02.23,2023,व्यक्तिगत,dkaL;
4,lkekU;,बैडमिन्टन,&,"म.आ.नन्दनी यादव, म.आ.आरती सिंह पाल",15वीं अखिल भारतीय पुलिस बैडमिन्टन प्रतियोगिता-2022-23,चण्डीगढ,20.02.23 से 26.02.23,2023,महिला डबल्स,Lo.kZ
5,lkekU;,बैडमिन्टन,&,"म.आ.नन्दनी यादव, आ. निकेन्द्र मलिक",15वीं अखिल भारतीय पुलिस बैडमिन्टन प्रतियोगिता-2022-23,चण्डीगढ,20.02.23 से 26.02.23,2023,मिक्स डबल्स,Lo.kZ
6,lkekU;,बैडमिन्टन,&,"म.आ.आरती सिंह पाल, आ.विनय पाण्डेय",15वीं अखिल भारतीय पुलिस बैडमिन्टन प्रतियोगिता-2022-23,चण्डीगढ,20.02.23 से 26.02.23,2023,मिक्स डबल्स,dkaL;
7,lkekU;,एथलेटिक्स,&,म.आ.रश्मी,71वीं अखिल भारतीय पुलिस एथलेटिक्स क्लस्टर प्रतियोगिता2022-23,लखनऊ,21.03.23 से 25.03.23,2023,एथलेटिक्स ( पोल वॉल्ट ),dkaL;
