,,,,,
 उ.प्र. पुलिस टीम के कुशल खिलाडी कोटे से भर्ती खिलाडियों का विवरण, उ.प्र. पुलिस टीम के कुशल खिलाडी कोटे से भर्ती खिलाडियों का विवरण, उ.प्र. पुलिस टीम के कुशल खिलाडी कोटे से भर्ती खिलाडियों का विवरण, उ.प्र. पुलिस टीम के कुशल खिलाडी कोटे से भर्ती खिलाडियों का विवरण, उ.प्र. पुलिस टीम के कुशल खिलाडी कोटे से भर्ती खिलाडियों का विवरण, उ.प्र. पुलिस टीम के कुशल खिलाडी कोटे से भर्ती खिलाडियों का विवरण
क्र.सं.,vH;FkhZ dk uke o in,[ksy fo/kk dk uke,esMy dk uke,izfr;ksfxrk dk fooj.k,vH;FkhZ ls lEcfU/kr jkT; dk uke
,,,,,
1,म.आ.इन्दू चौधरी,dq'rh,कांस्य,68वीं अखिल भारतीय पुलिस प्रतियोगिता.2019,mRrj izns'k
2,म.आ. साक्षी,dq'rh,रजत,68वीं अखिल भारतीय पुलिस प्रतियोगिता.2019,mRrj izns'k
3,म.आ. सीमा पंवार,dq'rh,कांस्य,68वीं अखिल भारतीय पुलिस प्रतियोगिता.2019,mRrj izns'k
4,म.आ. नीलम तोमर,dq'rh,कांस्य,68वीं अखिल भारतीय पुलिस प्रतियोगिता.2019,mRrj izns'k
5,आ. कृष्ण कुमार पटेल,",FkysfVDl",रजत,68वीं अखिल भारतीय पुलिस एथलेटिक्स चैम्पियनशिप-2019,mRrj izns'k
6,कु.खि.म.आ.सीमा,twMks,रजत,71वीं अखिल भारतीय पुलिस कुश्ती क्लस्टर प्रतियोगिता-2022,mRrj izns'k
7,e-eq-vk- bUnw pkS/kjh,dq'rh,jtr,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 ,mRrj izns'k
8,e-vk- lk{kh,dq'rh,Lo.kZ,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 ,mRrj izns'k
9,e-vk- lhek,dq'rh,dkaL;,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 ,mRrj izns'k
10,आ. श्रेय भारद्वाज,vkpZjh,Lo.kZ,12oha vf[ky Hkkjrh; iqfyl vkpZjh izfr;ksfxrk&2023&24,fcgkj
11,आ. अनन्त सैना,vkpZjh,jtr,12oha vf[ky Hkkjrh; iqfyl vkpZjh izfr;ksfxrk&2023&24,mRrj izns'k
12,आ. तरूण दीक्षित,vkpZjh,dkaL;,12oha vf[ky Hkkjrh; iqfyl vkpZjh izfr;ksfxrk&2023&24,gfj;k.kk
13,आ. श्रेय भारद्वाज,vkpZjh,jtr,12oha vf[ky Hkkjrh; iqfyl vkpZjh izfr;ksfxrk&2023&24,fcgkj
14,आ. श्रेय भारद्वाज,vkpZjh,Lo.kZ,12oha vf[ky Hkkjrh; iqfyl vkpZjh izfr;ksfxrk&2023&24,fcgkj
15,आ. श्रेय भारद्वाज,vkpZjh,Lo.kZ,12oha vf[ky Hkkjrh; iqfyl vkpZjh izfr;ksfxrk&2023&24,fcgkj
16,"e-vk- thur vkjk] 
e-vk- lqeu pkS/kjh",vkpZjh,jtr,12oha vf[ky Hkkjrh; iqfyl vkpZjh izfr;ksfxrk&2023&24,"mRrj izns'k
jktLFkku"
17,"vk-Js; Hkkj}kt] 
e-vk- lqeu pkS/kjh",vkpZjh,jtr,12oha vf[ky Hkkjrh; iqfyl vkpZjh izfr;ksfxrk&2023&24,"fcgkj
jktLFkku"
18,आ. सुब्रत राज वर्मा,Vscy Vsful,jtr,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,mRrj izns'k
19,म.आ. श्रष्टी जैसवाल   ,Vscy Vsful,jtr,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,mRrj izns'k
20,म.आ. गुनगुन साहू    ,Vscy Vsful,Lo.kZ,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,mRrj izns'k
21,"म.आ. गुनगुन साहू, म.आ. श्रष्टी जैसवाल",Vscy Vsful,Lo.kZ,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,mRrj izns'k
22,"आ. अरविन्द चौधरी, 
आ. सुब्रत राज वर्मा, 
आ. विशाल राज",Vscy Vsful,Lo.kZ,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,"mRrj izns'k
mRrj izns'k
fcgkj"
23,म.आ. गुनगुन साहू,Vscy Vsful,Lo.kZ,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,mRrj izns'k
24,आ. विशाल राज,Vscy Vsful,dkaL;,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,fcgkj
25,आ. सुब्रत राज वर्मा,Vscy Vsful,Lo.kZ,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,mRrj izns'k
26,"आ. अरविन्द चौधरी,
 आ. विशाल राज",Vscy Vsful,jtr,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,"mRrj izns'k
fcgkj"
27,"म.आ. गुनगुन साहू, म.आ.श्रष्टि जायसवाल ",Vscy Vsful,Lo.kZ,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,mRrj izns'k
28,"आ. सुब्रत राज वर्मा, म.आ.श्रष्टि जायसवाल",Vscy Vsful,dkaL;,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,mRrj izns'k
29,"e-vk- fyizkebZ lriFkh
e-vk- lk{kh flag
e-vk- cj[kk lksudj
e-vk- eulk chih
e-vk- jkxuh >ka
e-vk- vuqjk/kk lsB
e-vk- uSUlh xqIrk
e-vk- eukyh cksjk
e-vk- vuqlqbZ;k luy th ukFk","ckLdsVcky 
¼efgyk Vhe½",dkaL;,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,"mMhlk
mRrj izns'k
mRrj izns'k
dukZVd
NRrhlx<
mMhlk
mRrj izns'k
e/; izns'k
dsjy"
30,"आ. सत्यम बालियान
आ. बलवीर जाट",okVj LiksVZ~l,Lo.kZ,23oha vf[ky Hkkjrh; iqfyl okVj LiksVZ~l izfr;ksfxrk 2023&24,"mRrj izns'k
e/;izns'k"
31,"आ. करनबीर सिंह बिन्दर, आ. सोभित पाण्डेय",okVj LiksVZ~l,Lo.kZ,23oha vf[ky Hkkjrh; iqfyl okVj LiksVZ~l izfr;ksfxrk 2023&24,mRrj izns'k
32,"आ.आदित्य सिंह, आ.सुखदीप सिंह",okVj LiksVZ~l,dkaL;,23oha vf[ky Hkkjrh; iqfyl okVj LiksVZ~l izfr;ksfxrk 2023&24,mRrj izns'k
33,"आ. निखिल कुमार
आ. सोयल
आ. आदित्य सिंह
आ. सुखदीप सिंह",okVj LiksVZ~l,jtr,23oha vf[ky Hkkjrh; iqfyl okVj LiksVZ~l izfr;ksfxrk 2023&24,"mRrj izns'k
e/; izns'k
mRrj izns'k
mRrj izns'k"
34,आ.सोभित पाण्डेय,okVj LiksVZ~l,jtr,23oha vf[ky Hkkjrh; iqfyl okVj LiksVZ~l izfr;ksfxrk 2023&24,mRrj izns'k
35,"आ. 232031780 आदित्य सिंह, 
आ. 232290343 सुखदीप सिंह",okVj LiksVZ~l,Lo.kZ,23oha vf[ky Hkkjrh; iqfyl okVj LiksVZ~l izfr;ksfxrk 2023&24,mRrj izns'k
36,"आ. 232090372 सत्यम बालियान 
आ. 234240496 विकास मौर्या   
आ. 232010118 बलवीर जाट ",okVj LiksVZ~l,jtr,23oha vf[ky Hkkjrh; iqfyl okVj LiksVZ~l izfr;ksfxrk 2023&24,"mRrj izns'k
mRrj izns'k
e/;izns'k"
37,"आ. 232290343 करनबीर सिंह भिन्डर, 
आ. लोकेश",okVj LiksVZ~l,Lo.kZ,23oha vf[ky Hkkjrh; iqfyl okVj LiksVZ~l izfr;ksfxrk 2023&24,mRrj izns'k
38,"आ. अभिमन्यू पटेल, 
आ. 232510908 महेन्द्र सिंह, 
आ. 232510227 सागर चौधरी, 
आ. 232510937 हर्ष कुमार",okVj LiksVZ~l,jtr,23oha vf[ky Hkkjrh; iqfyl okVj LiksVZ~l izfr;ksfxrk 2023&24,"mRrj izns'k
mRrj izns'k
mRrjk[k.M
mRrj izns'k"
39,vkj{kh jktu ;kno,cSMfeUVu,Lo.kZ,16oha vf[ky Hkkjrh; iqfyl cSMfeUVu izfr;ksfxrk 2023,mRrj izns'k
40,e-vkj{kh fleju pkS/kjh,cSMfeUVu,Lo.kZ,16oha vf[ky Hkkjrh; iqfyl cSMfeUVu izfr;ksfxrk 2023,mRrj izns'k
41,vkj{kh jktu ;kno] e-vkj{kh fleju pkS/kjh,cSMfeUVu,Lo.kZ,16oha vf[ky Hkkjrh; iqfyl cSMfeUVu izfr;ksfxrk 2023,mRrj izns'k
42,e-vkj{kh fjpk ;kno,cSMfeUVu,dkaL; ,16oha vf[ky Hkkjrh; iqfyl cSMfeUVu izfr;ksfxrk 2023,mRrj izns'k
43,vkj{kh jktu ;kno o vkj{kh dfiy pkS/kjh,cSMfeUVu,dkaL;,16oha vf[ky Hkkjrh; iqfyl cSMfeUVu izfr;ksfxrk 2023,mRrj izns'k
44,e-vkj{kh fjpk ;kno o e-vk- fleju pkS/kjh,cSMfeUVu,dkaL;,16oha vf[ky Hkkjrh; iqfyl cSMfeUVu izfr;ksfxrk 2023,mRrj izns'k
45,e-vkj{kh fiz;adk,oq'kw,Lo.kZ,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",iatkc
46,vkj{kh eksfgr Fkkik,oq'kw,jtr,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",mRrj izns'k
47,e-vk- izhrh,oq'kw,jtr,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",mRrj izns'k
48,vkj{kh fufru pkS/kjh,oq'kw,jtr,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",mRrj izns'k
49,vkj{kh fpUVw ukxj,oq'kw,Lo.kZ,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",mRrj izns'k
50,vkj{kh lwjt ;kno,oq'kw,dkaL;,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",mRrj izns'k
51,e-vk- gqek [kku,oq'kw,dkaL;,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",mRrj izns'k
52,e-vk- izsj.kk,oq'kw,dkaL;,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",fnYyh
53,e-vk- Jqfr ljoS;k,oq'kw,dkaL;,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",fnYyh
54,e-vkj{kh iwtk,rkbZDok.Mks,Lo.kZ,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",mRrjk[k.M
55,e-vkj{kh vuh'kk,rkbZDok.Mks,Lo.kZ,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",mRrj izns'k
56,e-vkj{kh fj;k dukSft;k,rkbZDok.Mks,jtr,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",mRrj izns'k
57,e-vk- lhek dukSft;k,rkbZDok.Mks,Lo.kZ,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",mRrj izns'k
58,e-vk- _f’krk jk;,rkbZDok.Mks,jtr,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",mRrj izns'k
59,vk- nsokax 'kekZ,rkbZDok.Mks,dkaL;,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",jktLFkku
60,e-vk- [kq'kcw ;kno,rkbZDok.Mks,Lo.kZ,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",mRrjk[k.M
61,e-vk- e/kw flag,rkbZDok.Mks,Lo.kZ,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",mRrj izns'k
62,"vk- _f""k jk;",rkbZDok.Mks,Lo.kZ,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",mRrj izns'k
63,e-vkj{kh vfLerk Ms,twMks,Lo.kZ,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",f=iqjk
64,vkj{kh fo'kky pkSgku,twMks,dkaL;,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",mRrj izns'k
65,vkj{kh lquhy,twMks,Lo.kZ,"09oha vf[ky Hkkjrh; iqfyl twMks DyLVj izfr;ksfxrk ¼efgyk@iq:""k½ 2024&25",mRrjk[k.M
66,vk- vuwi dqekj,dq'rh,Lo.kZ,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,mRrj izns'k
67,vk- vafdr,dq'rh,jtr,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,gfj;k.kk
68,vk- lfpu,dq'rh,Lo.kZ,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,gfj;k.kk
69,vk- eksfgr [kks[kj,dq'rh,Lo.kZ,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,mRrj izns'k
70,vk- fo'kky lkguh,dq'rh,Lo.kZ,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,mRrj izns'k
71,vk- jfoUnz,dq'rh,Lo.kZ,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,gfj;k.kk
72,"vk- vk;q""k dqekj",dq'rh,Lo.kZ,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,mRrj izns'k
73,"vk- vfHk""ksd",dq'rh,jtr,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,gfj;k.kk
74,vk- rstohj flag ;kno,dq'rh,dkaL;,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,mRrj izns'k
75,vk- vejiky,dq'rh,dkaL;,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,gfj;k.kk
76,vk- xksfoUn dqekj,dq'rh,jtr,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,mRrj izns'k
77,e-vk- fiz;ka'kh iztkifr,dq'rh,jtr,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,e/; izns'k
78,e-vk- laxhrk,dq'rh,jtr,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,gfj;k.kk
79,e-vk- ekulh ;kno,dq'rh,dkaL;,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,mRrj izns'k
80,"e-vk- iq""ik ;kno",dq'rh,dkaL;,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,mRrj izns'k
81,e-vk- latw nsoh,dq'rh,Lo.kZ,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,mRrj izns'k
82,e-vk- fu'kk,dq'rh,dkaL;,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,gfj;k.kk
83,vk- xxunhi,ckfDalx,jtr,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,mRrj izns'k
84,vk- jkWdh pkS/kjh,ckfDalx,jtr,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,mRrj izns'k
85,"vk- d`"".kk flag",ckfDalx,jtr,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,mRrj izns'k
86,आ. जावेद,ckfDalx,dkaL;,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,mRrj izns'k
87,आ. सुनील चौहान,ckfDalx,dkaL;,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,mRrj izns'k
88,आ. सक्षम सिंह,ckfDalx,dkaL;,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,mRrj izns'k
89,आ. विशाल यादव,ckfDalx,dkaL;,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,mRrj izns'k
90,म.आ. कुसुम,ckfDalx,dkaL;,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,gfj;k.kk
91,म.आ. सिवी,ckfDalx,dkaL;,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,gfj;k.kk
92,vk- jksfgr dqekj ;kno,HkkjksRrksyu,jtr,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,mRrj izns'k
93,vk- lqns'k dqekj ik.Ms;,HkkjksRrksyu,dkaL;,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,mRrj izns'k
94,e-vk- jk/kk lksuh,HkkjksRrksyu,dkaL;,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,mRrj izns'k
95,e-vk- 'kkfyuh,HkkjksRrksyu,jtr,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,mRrj izns'k
96,vk- izos'k cSlks;k,HkkjksRrksyu,dkaL;,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,mRrj izns'k
97,vk- vkdk'k,HkkjksRrksyu,dkaL;,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,mRrj izns'k
98,lyksuh flag,HkkjksRrksyu,dkaL;,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,mRrj izns'k
99,fl)kUr pkS/kjh,HkkjksRrksyu,Lo.kZ,01oha vf[ky Hkkjrh; iqfyl HkkjksRrksyu DyLVj izfr;ksfxrk&2024,mRrj izns'k
100,e-vkj{kh mtkyk,",FkysfVDl",Lo.kZ,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",mRrj izns'k
101,vkj{kh fizUl dqekj,",FkysfVDl",Lo.kZ,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",mRrj izns'k
102,vkj{kh eks- vyhe,",FkysfVDl",jtr,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",mRrj izns'k
103,e-vkj{kh eerk iky,",FkysfVDl",dkaL;,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",mRrj izns'k
104,vkj{kh bjQku,",FkysfVDl",Lo.kZ,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",mRrj izns'k
105,e-vkj{kh [kq'kcw oekZ,",FkysfVDl",dkaL;,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",mRrj izns'k
106,vkj{kh dju dqekj ljkst,",FkysfVDl",dkaL;,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",mRrj izns'k
107,vk- fjfrd ckfy;ku,",FkysfVDl",Lo.kZ,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",mRrj izns'k
108,e-vk- fjfRodk flag,",FkysfVDl",dkaL;,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",mRrj izns'k
109,vk- lUnhi dqekj,",FkysfVDl",dkaL;,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",mRrj izns'k
110,vk- vkdk'k xzsgoky,",FkysfVDl",jtr,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",mRrj izns'k
