,,,,,
 उ.प्र. पुलिस टीम के कुशल खिलाडी कोटे से वर्ष 2018 मे भर्ती खिलाडियों का विवरण, उ.प्र. पुलिस टीम के कुशल खिलाडी कोटे से वर्ष 2018 मे भर्ती खिलाडियों का विवरण, उ.प्र. पुलिस टीम के कुशल खिलाडी कोटे से वर्ष 2018 मे भर्ती खिलाडियों का विवरण, उ.प्र. पुलिस टीम के कुशल खिलाडी कोटे से वर्ष 2018 मे भर्ती खिलाडियों का विवरण, उ.प्र. पुलिस टीम के कुशल खिलाडी कोटे से वर्ष 2018 मे भर्ती खिलाडियों का विवरण, उ.प्र. पुलिस टीम के कुशल खिलाडी कोटे से वर्ष 2018 मे भर्ती खिलाडियों का विवरण
क्र.सं.,vH;FkhZ dk uke o in,[ksy fo/kk dk uke,esMy dk uke,izfr;ksfxrk dk fooj.k,vH;FkhZ ls lEcfU/kr jkT; dk uke
1,आ. कृष्ण कुमार पटेल,",FkysfVDl",रजत,68वीं अखिल भारतीय पुलिस एथलेटिक्स चैम्पियनशिप-2019,mRrj izns'k
2,e-eq-vk- bUnw pkS/kjh,dq'rh,jtr,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 ,mRrj izns'k
3,e-eq-vk- bUnw pkS/kjh,dq'rh,Lo.kZ,21oha owesu lhfu;j us'kuy dq'rh pSfEi;uf'ki,mRrj izns'k
4,म.आ.इन्दू चौधरी,dq'rh,कांस्य,68वीं अखिल भारतीय पुलिस प्रतियोगिता.2019,mRrj izns'k
5,e-vk- lk{kh,dq'rh,Lo.kZ,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 ,mRrj izns'k
6,म.आ. साक्षी,dq'rh,रजत,68वीं अखिल भारतीय पुलिस प्रतियोगिता.2019,mRrj izns'k
7,e-vk- lhek,dq'rh,dkaL;,72oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2023 ,mRrj izns'k
8,e-vk- lhek,dq'rh,कांस्य,68वीं अखिल भारतीय पुलिस प्रतियोगिता.2019,mRrj izns'k
9,म.आ.सीमा,twMks,रजत,71वीं अखिल भारतीय पुलिस कुश्ती क्लस्टर प्रतियोगिता-2022,mRrj izns'k
10,म.आ. नीलम तोमर,dq'rh,कांस्य,68वीं अखिल भारतीय पुलिस प्रतियोगिता.2019,mRrj izns'k
11,"vtosUnz flag
ikfjrks'k rsofr;k",dcM~Mh,Lo.kZ,izFke vf[ky Hkkjrh; iqfyl dcM~Mh DyLVj izfr;ksfxrk,mRrj izns'k
12,"lR;thr pijkuk
","ckLdsVcky 
¼iq:""k Vhe½",Lo.kZ,izFke vf[ky Hkkjrh; iqfyl gS.Mcky@ckLdsVcky izfr;ksfxkr 2024&25,mRrj izns'k
13,efgyk vkj{kh fMEiy flag,ØkWld.Vªh,jtr,"53oha jk""Vªh; ØkWld.Vªh pSfEi;uf'ki",mRrj izns'k
14,lR;thr pijkuk,ckLdsVcky,jtr, 4th 3x3 Senior National Basketball Championship (men/women) ,mRrj izns'k
 उ.प्र. पुलिस टीम के कुशल खिलाडी कोटे से वर्ष 2023 मे भर्ती खिलाडियों का विवरण, उ.प्र. पुलिस टीम के कुशल खिलाडी कोटे से वर्ष 2023 मे भर्ती खिलाडियों का विवरण, उ.प्र. पुलिस टीम के कुशल खिलाडी कोटे से वर्ष 2023 मे भर्ती खिलाडियों का विवरण, उ.प्र. पुलिस टीम के कुशल खिलाडी कोटे से वर्ष 2023 मे भर्ती खिलाडियों का विवरण, उ.प्र. पुलिस टीम के कुशल खिलाडी कोटे से वर्ष 2023 मे भर्ती खिलाडियों का विवरण, उ.प्र. पुलिस टीम के कुशल खिलाडी कोटे से वर्ष 2023 मे भर्ती खिलाडियों का विवरण
क्र.सं.,vH;FkhZ dk uke o in,[ksy fo/kk dk uke,esMy dk uke,izfr;ksfxrk dk fooj.k,vH;FkhZ ls lEcfU/kr jkT; dk uke
1,e-vkj{kh mtkyk,",FkysfVDl",Lo.kZ,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",mRrj izns'k
2,vkj{kh fizUl dqekj,",FkysfVDl",Lo.kZ,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",mRrj izns'k
3,vkj{kh eks- vyhe,",FkysfVDl",jtr,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",mRrj izns'k
4,e-vkj{kh eerk iky,",FkysfVDl",dkaL;,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",mRrj izns'k
5,vkj{kh bjQku,",FkysfVDl",Lo.kZ,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",mRrj izns'k
6,e-vkj{kh [kq'kcw oekZ,",FkysfVDl",dkaL;,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",mRrj izns'k
7,vkj{kh dju dqekj ljkst,",FkysfVDl",dkaL;,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",mRrj izns'k
8,vk- fjfrd ckfy;ku,",FkysfVDl",Lo.kZ,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",mRrj izns'k
9,e-vk- fjfRodk flag,",FkysfVDl",dkaL;,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",mRrj izns'k
10,vk- lUnhi dqekj,",FkysfVDl",dkaL;,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",mRrj izns'k
11,vk- vkdk'k xzsgoky,",FkysfVDl",jtr,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",mRrj izns'k
12,vk- f'koe pkS/kjh,",FkysfVDl",dkaL;,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",mRrj izns'k
13,e-vk- js'kek iVsy,",FkysfVDl",Lo.kZ,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",mRrj izns'k
14,vk- lfpu ;kno,",FkysfVDl",Lo.kZ,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",mRrj izns'k
15,vk- vk;Zu pkS/kjh,",FkysfVDl",Lo.kZ,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",mRrj izns'k
16,vk- fizUl dqekj,",FkysfVDl",Lo.kZ,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",mRrj izns'k
17,vk- eks- vyhe,",FkysfVDl",dkaL;,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",mRrj izns'k
18,fiz;adk fldjokj] jks'kuh ;kno] Vhuk] fjadh iky,",FkysfVDl",Lo.kZ,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",mRrj izns'k
19,"yfo'k 'kekZ] 
f'kokax feJk
iadt
eksfgr dqekj",",FkysfVDl",Lo.kZ,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ","mRrj izns'k
mRrj izns'k
jktLFkku
mRrj izns'k"
20,e-vk- yoyh jktiwr,",FkysfVDl",jtr,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",mRrj izns'k
21,vk- vHk; ukjk;.k ;kno,",FkysfVDl",dkaL;,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",mRrj izns'k
22,e-vk- fiz;adk fldjokj,",FkysfVDl",dkaL;,"73oha vf[ky Hkkjrh; iqfyl ,FkysfVDl DyLVj izfr;ksfxrk&2024 ",mRrj izns'k
23,lfpu ;kno,",FkysfVDl",jtr,"26oha ,f'k;u ,FkysfVDl pSfEi;uf'ki 2025",mRrj izns'k
24,fiz;adk fldjokj,",FkysfVDl",jtr,1st National Open Relay Carnival 2024 ,mRrj izns'k
25,lfpu ;kno,",FkysfVDl",Lo.kZ,bf.M;u xzSaM fizDl lhtu&3 izfr;ksfxrk,mRrj izns'k
26,lfpu ;kno,",FkysfVDl",jtr,"63oha us'kuy vksiu ,FkysfVDl pSfEi;uf'ki",mRrj izns'k
27,js'kek iVsy,",FkysfVDl",Lo.kZ,"vaMj 23 vksiu us'kuy ,FkysfVDl pSfEi;uf'ki ¼vuqefr ugha yh x;h½",mRrj izns'k
28,"eerk iky
mtkyk
uhrw dqekj",",FkysfVDl",dkaL;,59oha us'kuy ØkWld.Vªh pSfEi;uf'ki,mRrj izns'k
29,lfpu ;kno,",FkysfVDl",Lo.kZ,38osa us'kuy xsEl 2025,mRrj izns'k
30,lfpu ;kno,",FkysfVDl",Lo.kZ,"28oha QsMjs'ku di lhfu;j ,FkysfVDl izfr;ksfxrk",mRrj izns'k
31,"lq""kek",",FkysfVDl",dkaL;,fjys dkfuZoky izfr;ksfxrk,mRrj izns'k
32,vk- xxunhi,ckfDalx,jtr,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,mRrj izns'k
33,vk- jkWdh pkS/kjh,ckfDalx,jtr,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,mRrj izns'k
34,"vk- d`"".kk flag",ckfDalx,jtr,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,mRrj izns'k
35,आ. जावेद,ckfDalx,dkaL;,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,mRrj izns'k
36,आ. सुनील चौहान,ckfDalx,dkaL;,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,mRrj izns'k
37,आ. सक्षम सिंह,ckfDalx,dkaL;,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,mRrj izns'k
38,आ. विशाल यादव,ckfDalx,dkaL;,73oha vf[ky Hkkjrh; iqfyl dq”rh DyLVj izfr;ksfxrk&2024 ,mRrj izns'k
