"o""kZ&2024","o""kZ&2024","o""kZ&2024","o""kZ&2024","o""kZ&2024","o""kZ&2024","o""kZ&2024","o""kZ&2024","o""kZ&2024"
"Ø0
la0",f[kykMh dk izdkj,Li/kkZ,"ih,uvks",in o uke,izfr;ksfxrk dk uke,bosUV,esMy,oYMZ jSafdax
1,dq-f[k-,twMks,234100486,vkj{kh vt; ;kno,fnukad 05-04-2024 ls 07-04-2024 rd ekYVk esa vk;ksftr dkeuosYFk twMks pSfEi;uf'ki 2024,81fdxzk-,Lo.kZ,&
2,dq-f[k-,twMks,232290213,efgyk vkj{kh vfLerk Ms,fnukad 05-04-2024 ls 07-04-2024 rd ekYVk esa vk;ksftr dkeuosYFk twMks pSfEi;uf'ki 2024,48fdxzk-,jtr,49
3,dq-f[k-,dq'rh,234103599,"e-vkj{kh iq""ik ;kno","fnukad 22-06-2024 ls 30-06-2024 rd vEeku tkMZu esa vk;ksftr ;w&23 o ;w&17 ,f'k;u Qzh LVkbZy] xzhdksjkseu LVkbZy o owesu jslfyax pSfEi;uf'ki 2024",59fdxzk-,Lo.kZ,&
4,dq-f[k-,dq'rh,232510168,vkj{kh vafdr,"fnukad 22-06-2024 ls 30-06-2024 rd vEeku tkMZu esa vk;ksftr ;w&23 o ;w&17 ,f'k;u Qzh LVkbZy] xzhdksjkseu LVkbZy o owesu jslfyax pSfEi;uf'ki 2024",63fdxzk-,jtr,&
5,dq-f[k-,हॉकी,232030383,vkj{kh pUnu ;kno,"fnukad 26-11-2024 ls 04-12-2024 rd eLdV] vkseku esa vk;ksftr iq:""k twfu;j ,f'k;k di 2024",feM fQYMj,Lo.kZ,&
"o""kZ&2025","o""kZ&2025","o""kZ&2025","o""kZ&2025","o""kZ&2025","o""kZ&2025","o""kZ&2025","o""kZ&2025","o""kZ&2025"
"Ø0
la0",f[kykMh dk izdkj,Li/kkZ,"ih,uvks",in o uke,izfr;ksfxrk dk uke,bosUV,esMy,oYMZ jSafdax
1,dq-f[k-,",FkysfVDl",232330164,vkj{kh lfpu ;kno,"fnukad 27-05-2025 ls 31-05-2025 rd xqeh] lkmFk dksfj;k esa vk;ksftr 26oha ,f'k;u ,FkysfVDl pSfEi;uf'ki 2025",tSofyu Fkzks,jtr,20
2,dq-f[k-,oq'kw,232330207,vkj{kh fufru pkS/kjh,"fnukad 02-07-2025 ls 07-07-2025 rd pkbuk esa vk;ksftr f}rh; oq'kw lk.Mk ,f'k;k di 2025",lk.Mk,dkaL;,&
3,dq-f[k-,dq'rh,232010150,e-vkj{kh fiz;ka'kh iztkifr,"fnukad 18-06-2025 ls 22-06-2025 rd fo;ruke esa vk;ksftr ;w&23 ,f'k;u pSfEi;uf'ki 2025",50fdxzk,Lo.kZ,42
