m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k,m-iz- iqfyl ds f[kykfM;ksa }kjk izkIr fd;s x;s indksa dk fooj.k
,,,,,,,,,,,,,,,
"Ø0
laa0",[ksy fo/kk,f[kykMh dk uke,"vUrjkZ""Vªh;","vUrjkZ""Vªh;","vUrjkZ""Vªh;",;ksx,"jk""Vªh;","jk""Vªh;","jk""Vªh;",;ksx,vf[ky Hkkjrh; iqfyl,vf[ky Hkkjrh; iqfyl,vf[ky Hkkjrh; iqfyl,;ksx,dqy ;ksx
"Ø0
laa0",[ksy fo/kk,f[kykMh dk uke,Lo.kZ ,jtr,dkaL;,;ksx,Lo.kZ ,jtr,dkaL;,;ksx,Lo.kZ ,jtr,dkaL;,;ksx,dqy ;ksx
1,",FkysfVDl",vkj{kh lfpu ;kno,0,1,0,1,2,1,0,3,1,0,0,1,5
2,",FkysfVDl","vkj{kh _""kHk usgjk",0,0,0,0,1,0,0,1,0,0,0,0,1
3,",Fkys-@dzkld.Vªh",m-fu- cyjke,0,0,1,1,0,0,0,0,0,2,1,3,4
4,dzkld.Vªh,vkj{kh fizUl dqekj,1,1,0,2,2,0,0,2,1,0,0,1,5
5,twMks,e-vk- vfLerk Ms,1,1,0,2,1,1,0,2,1,0,0,1,5
6,twMks,vkj{k vt; ;kno,1,0,0,1,0,0,0,0,0,0,0,0,1
7,oq'kw,vkj{kh fufru pkS/kjh,0,0,1,1,0,0,0,0,0,1,0,1,2
8,oq'kw,vkj{kh lwjt ;kno,1,0,0,1,2,0,0,2,0,0,1,1,4
9,oq'kw,vkj{kh jfo lw;Zoa'kh,0,0,0,0,2,2,0,4,0,1,1,2,6
10,oq'kw,e-vkj{kh izsj.kk,0,0,0,0,1,0,1,2,0,0,1,1,3
11,oq'kw,e-vkj{kh Jqfr ljoS;k,0,0,0,0,3,0,0,3,0,1,1,2,5
12,dq'rh,e-vk- fiz;ka'kh iztkir,1,0,0,1,2,0,0,2,0,1,1,2,5
13,dq'rh,"e-vk- iq""ik ;kno",1,0,0,1,0,1,1,2,0,0,2,2,5
14,dq'rh,vkj{kh vafdr,0,1,0,1,0,0,2,2,0,1,0,1,4
15,dq'rh,"vkj{kh vk;q""k dqekj",0,0,0,0,0,0,1,1,1,0,0,1,2
16,ckfDlax,vkj{kh jkWdh pkS/kjh,0,0,1,1,0,0,0,0,0,2,0,2,3
17,rkbZDok.Mks,"vkj{kh _f""kjk;",0,0,0,0,0,0,0,0,1,1,0,2,2
18,rkbZDok.Mks,e-vk- e/kq flag,0,0,1,1,1,1,1,3,1,1,0,2,6
19,rkbZDok.Mks,"e-vk- _f""krk jk;",0,0,0,0,2,1,0,3,0,1,0,1,4
20,rkbZDok.Mks,e-vk- vfu'kk ,0,0,0,0,0,0,0,0,2,0,0,2,2
21,rkbZDok.Mks,e-vk- iwtk,0,0,0,0,0,0,0,0,1,0,1,2,2
22,rkbZDok.Mks,e-vk- [kq'kcw,0,0,0,0,0,0,1,1,1,1,0,2,3
23,rkbZDok.Mks,e-vk- lhek dukSft;k,0,0,0,0,0,0,1,1,2,0,0,2,3
;ksx&,;ksx&,;ksx&,6,4,4,14,19,7,8,34,12,13,9,34,82
