2024 esa vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,2024 esa vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,2024 esa vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,2024 esa vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,2024 esa vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,2024 esa vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,2024 esa vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,2024 esa vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,2024 esa vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,2024 esa vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,2024 esa vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k
"Ø0
la0",f[kykMh dk izdkj,[ksy fo/kk,"ih,uvks",in o uke,izfr;ksfxrk dk uke,LFkku,fnukad,"o""kZ",Li/kkZ,Iknd
1,2,3,,4,5,,6,7,9,10
1,lkekU;,Vscy Vsful,&,DySP श्री देवेन्द्र सिंह भदौरिया,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,GO’s  50+  सिंगल्स,Lo.kZ
2,lkekU;,Vscy Vsful,&,DySP श्री प्रेम कुमार थापा,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,GO’s  50+  सिंगल्स,jtr
3,lkekU;,Vscy Vsful,&,Adsl SP श्री मनीष सोनकर,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,GO’s  40+ सिंगल्स,dkaL;
4,lkekU;,Vscy Vsful,&,DySP श्री देवेन्द्र सिंह भदौरिया,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,GO’s  40+ सिंगल्स,dkaL;
5,lkekU;,Vscy Vsful,&,"Adsl SP श्री मनीष सोनकर, DySP श्री देवेन्द्र सिंह भदौरिया, DySP श्री प्रेम कुमार थापा, DySP श्री वरूण कुमार",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,GO’s टीम चैम्पियनशिप,jtr
6,lkekU;,Vscy Vsful,&,"DySP श्री देवेन्द्र सिंह भदौरिया, DySP श्री प्रेम कुमार थापा",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,GO’s 50++++ डवल्स,Lo.kZ
7,lkekU;,Vscy Vsful,&,"Adsl SP श्री मनीष सोनकर, DySP श्री देवेन्द्र सिंह भदौरिया",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,GO’s 40++++ डवल्स,jtr
8,lkekU;,Vscy Vsful,&,"DySP श्री देवेन्द्र सिंह भदौरिया, Adsl SP श्री मनीष सोनकर",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,GO’s ओपन डबल्स,jtr
