2024 esa m-iz- iqfyl Vscy Vsful Vhe ds izfl) f[kykfM;ksa dh miyfC/k dk fooj.k,2024 esa m-iz- iqfyl Vscy Vsful Vhe ds izfl) f[kykfM;ksa dh miyfC/k dk fooj.k,2024 esa m-iz- iqfyl Vscy Vsful Vhe ds izfl) f[kykfM;ksa dh miyfC/k dk fooj.k,2024 esa m-iz- iqfyl Vscy Vsful Vhe ds izfl) f[kykfM;ksa dh miyfC/k dk fooj.k,2024 esa m-iz- iqfyl Vscy Vsful Vhe ds izfl) f[kykfM;ksa dh miyfC/k dk fooj.k,2024 esa m-iz- iqfyl Vscy Vsful Vhe ds izfl) f[kykfM;ksa dh miyfC/k dk fooj.k,2024 esa m-iz- iqfyl Vscy Vsful Vhe ds izfl) f[kykfM;ksa dh miyfC/k dk fooj.k,2024 esa m-iz- iqfyl Vscy Vsful Vhe ds izfl) f[kykfM;ksa dh miyfC/k dk fooj.k,2024 esa m-iz- iqfyl Vscy Vsful Vhe ds izfl) f[kykfM;ksa dh miyfC/k dk fooj.k,2024 esa m-iz- iqfyl Vscy Vsful Vhe ds izfl) f[kykfM;ksa dh miyfC/k dk fooj.k
"Ø0
la0",[ksy fo/kk,"ih,uvks",in o uke,izfr;ksfxrk dk uke,LFkku,fnukad,"o""kZ",Li/kkZ,Iknd
1,3,,4,5,,6,7,9,10
1,Vscy Vsful,&,DySP श्री देवेन्द्र सिंह भदौरिया,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,GO’s  50+  सिंगल्स,Lo.kZ
1,Vscy Vsful,&,DySP श्री देवेन्द्र सिंह भदौरिया,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,GO’s  40+ सिंगल्स,dkaL;
1,Vscy Vsful,&,DySP श्री देवेन्द्र सिंह भदौरिया,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,GO’s टीम चैम्पियनशिप,jtr
1,Vscy Vsful,&,DySP श्री देवेन्द्र सिंह भदौरिया,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,GO’s 50++++ डवल्स,Lo.kZ
1,Vscy Vsful,&,DySP श्री देवेन्द्र सिंह भदौरिया,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,GO’s 40++++ डवल्स,jtr
1,Vscy Vsful,&,DySP श्री देवेन्द्र सिंह भदौरिया,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,GO’s ओपन डबल्स,jtr
2,Vscy Vsful,&,DySP श्री प्रेम कुमार थापा,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,GO’s  50+  सिंगल्स,jtr
2,Vscy Vsful,&,DySP श्री प्रेम कुमार थापा,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,GO’s टीम चैम्पियनशिप,jtr
2,Vscy Vsful,&,DySP श्री प्रेम कुमार थापा,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,GO’s 50++++ डवल्स,Lo.kZ
3,Vscy Vsful,&,m-fu- lqczrjkt oekZ,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,ओपन  सिंगल्स,jtr
3,Vscy Vsful,&,m-fu- lqczrjkt oekZ,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,पुरूष टीम चैम्पियनशिप,Lo.kZ
3,Vscy Vsful,&,m-fu- lqczrjkt oekZ,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,ओपन डवल्स,Lo.kZ
3,Vscy Vsful,&,m-fu- lqczrjkt oekZ,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,ओपन मिक्स डबल्स,dkaL;
4,Vscy Vsful,&,nyuk;d jkgqy pkS/kjh,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,ओपन  सिंगल्स,dkaL;
4,Vscy Vsful,&,nyuk;d jkgqy pkS/kjh,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,पुरूष टीम चैम्पियनशिप,Lo.kZ
4,Vscy Vsful,&,nyuk;d jkgqy pkS/kjh,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,ओपन मिक्स डवल्स,jtr
4,Vscy Vsful,&,nyuk;d jkgqy pkS/kjh,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,ओपन डवल्स,Lo.kZ
5,Vscy Vsful,&,"m-fu- J`f""V t;loky",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,ओपन डवल्स,Lo.kZ
5,Vscy Vsful,&,"m-fu- J`f""V t;loky",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,महिला टीम चैम्पियनशिप,Lo.kZ
5,Vscy Vsful,&,"m-fu- J`f""V t;loky",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,ओपन  सिंगल्स,jtr
5,Vscy Vsful,&,"m-fu- J`f""V t;loky",72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,ओपन मिक्स डबल्स,dkaL;
6,Vscy Vsful,&,m-fu- xquxqu lkgw,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,महिला टीम चैम्पियनशिप,Lo.kZ
6,Vscy Vsful,&,m-fu- xquxqu lkgw,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,ओपन मिक्स डवल्स,Lo.kZ
6,Vscy Vsful,&,m-fu- xquxqu lkgw,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,ओपन डवल्स,Lo.kZ
7,Vscy Vsful,&,m-fu- vjfoUn pkS/kjh,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,पुरूष टीम चैम्पियनशिप,Lo.kZ
7,Vscy Vsful,&,m-fu- vjfoUn pkS/kjh,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,ओपन मिक्स डवल्स,Lo.kZ
7,Vscy Vsful,&,m-fu- vjfoUn pkS/kjh,72oha vf[ky Hkkjrh; iqfyl okyhckWy DyLVj izfr;ksfxrk 2023&24,ukxiqj] egkjk’V,26-02-2024 ls 02-03-2024,2024,ओपन डवल्स,jtr
