vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k,vf[ky Hkkjrh; iqfyl izfr;ksfxrk esa f[kykfM;ksa }kjk vftZr fd;s x;s indksa dk fooj.k
,,,,,,,,,,
"Ø0
la0",f[kykMh dk izdkj,[ksy fo/kk,"ih,uvks",in o uke,izfr;ksfxrk dk uke,LFkku,fnukad,"o""kZ",Li/kkZ,Iknd
1,2,3,,4,5,,6,7,9,10
1,lkekU;,आर्चरी,&,आ.अमित कुमार सिंह,08वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता-2019,"सिलीगुडी, पश्चिम बंगाल",18.11.19 से 23.11.19,2019,इण्डियन राउण्ड 30-50मीटर,रजत
2,lkekU;,आर्चरी,&,म.आ.शिल्पी,08वीं अखिल भारतीय पुलिस आर्चरी प्रतियोगिता-2019,"सिलीगुडी, पश्चिम बंगाल",18.11.19 से 23.11.19,2019,इण्डियन राउण्ड 30-50मीटर,रजत
3,lkekU;,शूटिंग,&,निरीक्षक रंजना गुप्ता,13वीं अखिल भारतीय पुलिस शूटिंग स्पोर्ट्स प्रति.2019,पूणे महाराष्ट्र,13.01.20 से 18.01.20,2020,50मीटर महिला राइफल प्रोन,कांस्य
4,lkekU;,जूडो,&,उ.नि.रॉबिन कनौजिया,आयोजित 04वीं अ.भ. पुलिस जूडो क्लस्टर प्रति.2019, CRPF नई दिल्ली, 03.01.20 से 07.01.20,2020,जिम्नास्टिक,कांस्य
5,lkekU;,जूडो,&,मु.आ. प्रभाष श्रीवास्तव,आयोजित 04वीं अ.भ. पुलिस जूडो क्लस्टर प्रति.2019, CRPF नई दिल्ली, 03.01.20 से 07.01.20,2020,जिम्नास्टिक,रजत
6,lkekU;,जूडो,&,मु.आ.विक्रान्त सिंह,आयोजित 04वीं अ.भ. पुलिस जूडो क्लस्टर प्रति.2019, CRPF नई दिल्ली, 03.01.20 से 07.01.20,2020,जिम्नास्टिक,रजत
7,lkekU;,जूडो,&,मु.आ.मनोहर सिंह,आयोजित 04वीं अ.भ. पुलिस जूडो क्लस्टर प्रति.2019, CRPF नई दिल्ली, 03.01.20 से 07.01.20,2020,जिम्नास्टिक,कांस्य
