"o""kZ 2022] 2023 ,oa 2024 esa vUrjkZ""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","o""kZ 2022] 2023 ,oa 2024 esa vUrjkZ""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","o""kZ 2022] 2023 ,oa 2024 esa vUrjkZ""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","o""kZ 2022] 2023 ,oa 2024 esa vUrjkZ""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","o""kZ 2022] 2023 ,oa 2024 esa vUrjkZ""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","o""kZ 2022] 2023 ,oa 2024 esa vUrjkZ""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","o""kZ 2022] 2023 ,oa 2024 esa vUrjkZ""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","o""kZ 2022] 2023 ,oa 2024 esa vUrjkZ""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","o""kZ 2022] 2023 ,oa 2024 esa vUrjkZ""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","o""kZ 2022] 2023 ,oa 2024 esa vUrjkZ""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","o""kZ 2022] 2023 ,oa 2024 esa vUrjkZ""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k",
"Ø0
la0",f[kykMh dk izdkj,Li/kkZ,"ih,uvks",in o uke,izfr;ksfxrk dk uke,LFkku,fnukad,"o""kZ",bosUV,esMy,
1,2,3,4,5,6,7,8,9,10,11,
1,lkekU;,"cSMfeUVu
¼McYl½",,vkj{kh xxu ikloku,"oYMZ iqfyl ,.M Qk;j xsEl 2022",uhnjyS.M,22-7-2022 ls 31-7-2022 rd uhnjyS.M,2022,&,dkaL;,
2,lkekU;,10 fdeh- ØkWld.Vªh,,vkj{kh cyjke,"16oha ,f'k;u Økld.Vªh pSfEi;uf'ki 2023",usiky,07-03-2023 usiky,2023,&,dkaL;,
3,lkekU;,vkpZjh,,vkj{kh t;nhi dq'kokgk,"oYMZ iqfyl ,.M Qk;j xsEl 2023",fofuisx] dukMk,28-07-2023 ls 6-08-2023 rd fofuisx dukMk,2023,&,jtr,
4,lkekU;,vkpZjh,,vkj{kh t;nhi dq'kokgk,"oYMZ iqfyl ,.M Qk;j xsEl 2023",fofuisx] dukMk,28-07-2023 ls 6-08-2023 rd fofuisx dukMk,2023,&,Lo.kZ,
5,lkekU;,vkpZjh,,vkj{kh t;nhi dq'kokgk,"oYMZ iqfyl ,.M Qk;j xsEl 2023",fofuisx] dukMk,28-07-2023 ls 6-08-2023 rd fofuisx dukMk,2023,&,Lo.kZ,
6,lkekU;,",FkysfVDl",,efgyk vkj{kh lfjrk 'kekZ,"oYMZ iqfyl ,.M Qk;j xsEl 2023",fofuisx] dukMk,28-07-2023 ls 6-08-2023 rd fofuisx dukMk,2023,&,Lo.kZ,
7,lkekU;,",FkysfVDl",,Dysp tVk'kadj feJ ,"oYMZ iqfyl ,.M Qk;j xsEl 2023",fofuisx] dukMk,28-07-2023 ls 6-08-2023 rd fofuisx dukMk,2023,&,jtr,
8,lkekU;,ckfDlax,,vkj{kh vHk; izrki flag,"oYMZ iqfyl ,.M Qk;j xsEl 2023",fofuisx] dukMk,28-07-2023 ls 6-08-2023 rd fofuisx dukMk,2023,&,Lo.kZ,
9,dq-f[k-,gkWdh,,Dysp yfyr mik/;k;,"19os ,f'k;u xsEl 2023",gkax>ksÅ] pk;uk,23-09-2023 ls 8-10-2023 rd,2023,&,Lo.kZ,
10,dq-f[k-,twMks,,vkj{kh tfru,dkeuosYFk twMks pSfEi;uf'ki 2023, lkmFk vQzhdk,2-08-2023 ls 6-8-2023 rd,2023,&,Lo.kZ,
11,dq-f[k-,ckfDlax,,vkj{kh vLFkk ikgok,Boxam International boxing tournament 2-01-2024 to 04-02-2024,Lisu,2-01-2024 ls 4-02-2024 rd,2024,&,dkaL;,
12,dq-f[k-,twMks,234100486,vkj{kh vt; ;kno,dkeuosYFk twMks pSfEi;uf'ki 2024,ekYVk,05-04-2024 ls 07-04-2024 rd,2024,&,Lo.kZ,
13,dq-f[k-,twMks,232290213,efgyk vkj{kh vfLerk Ms,dkeuosYFk twMks pSfEi;uf'ki,ekYVk,05-04-2024 ls 07-04-2024 rd,2024,&,jtr,
14,dq-f[k-,gkWdh,234130131,v:.k lkguh,11oha lqYrku vkWQ tksgj di&2023,eysf'k;k,27-10-2023 ls 04-11-2023 ,2023,&,dkaL;,
15,dq-f[k-,dq'rh,234103599,"iq""ik ;kno",";w&23 o ;w&17 ,f'k;u Qzh LVkbZy] xzhdksjkseu LVkbZy o owesu jslfyax pSfEi;uf'ki 2024",vEeku] tkMZu,22-06-2024 ls 30-06-2024 rd ,2024,&,Lo.kZ,
16,dq-f[k-,dq'rh,232510168,vafdr,";w&23 o ;w&17 ,f'k;u Qzh LVkbZy] xzhdksjkseu LVkbZy o owesu jslfyax pSfEi;uf'ki 2024",vEeku] tkMZu,22-06-2024 ls 30-06-2024 rd ,2024,&,jtr,twu]2024 rd
17,dq-f[k-,rkbZDok.Mks,232330643,e/kq flag,"cSadkd] FkkbZyS.M esa vk;ksftr vUrZjk""Vªh; rkbZDok.Mks izf'k{k.k ,Dlikstj",cSadkd] FkkbZyS.M,10-08-2024 ls 12-08-2024,2024,&,dkaL;,
18,dq-f[k-,gkWdh,,Dysp yfyr mik/;k;,isfjl es vk;ksftr vksyfEid xsEl esa Hkkjr dh vksj ls izfrfuf/kRo fd;k,isfjl,2024-08-06T00:00:00,2024,&,dkaL;,
19,dq-f[k-,okVjLiksVZ~l,,jktu dqekj,fQfyfiUl esa vk;ksftr ICF Dragon Boat wold Championship ,fQfyfiUl,28-10-2024 ls 04-11-2024,2024,&,dkaL;,
20,dq-f[k-,twMks,,tfru,"ek vksu lkg LiksV~l ls.Vj] gkaxdkax esa vk;ksftr ,f'k;u twMks vksiu 2024",gkaxdkax,05-11-2024 ls 09-11-2024,2024,&,dkaL;,
21,dq-f[k-,हॉकी,232030383,vkj{kh pUnu ;kno,सुल्तान जौहर कप -2024,-,19.10.2024 से 26.10.2024,2024,&,Lo.kZ,
22,dq-f[k-,हॉकी,232030383,vkj{kh pUnu ;kno,"iq:""k twfu;j ,f'k;k di 2024",eLdV] vkseku,26.11.2024 से 04.12.2024,2024,&,Lo.kZ,
23,dq-f[k-,twMks,,e-vkj{kh vfLerk Ms,16-01-2025 dks vQzhdu vksiu di,dklkCykadk] eksjDdks] vQzhdk,2025-01-16T00:00:00,2025,&,Lo.kZ,futh O;;
24,dq-f[k-,oq'kw,232650022,e-vkj{khgqek [kku,5th Acropolis International Wushu open Tournament,",FksUl xzhl ",28-02-2025 ls 02-03-2025 rd,2025,48fdxzk ¼lkaMk½,Lo.kZ,
25,dq-f[k-,oq'kw,232510517,f”koe,5th Acropolis International Wushu open Tournament,",FksUl xzhl ",28-02-2025 ls 02-03-2025 rd,2025,52fdxzk ¼lkaMk½,Lo.kZ,
26,dq-f[k-,oq'kw,232330353,e-vkj{kh izhrh,5th Acropolis International Wushu open Tournament,",FksUl xzhl ",28-02-2025 ls 02-03-2025 rd,2025,56fdxzk ¼lkaMk½,Lo.kZ,
27,lkekU;,;ksxk,,vkj{kh fd'ku dqekj,"f}rh; ,f'k;u ;ksxk'ku pSfEi;uf'ki",fnYyh,25-04-2025 ls 27-04-2025 rd,2025,vkfVZfLVd flaxy,Lo.kZ,
28,lkekU;,;ksxk,,vkj{kh fd'ku dqekj,"f}rh; ,f'k;u ;ksxk'ku pSfEi;uf'ki",fnYyh,25-04-2025 ls 27-04-2025 rd,2025,VªsfM'kuy,Lo.kZ,
29,lkekU;,;ksxk,,vkj{kh fd'ku dqekj,"f}rh; ,f'k;u ;ksxk'ku pSfEi;uf'ki",fnYyh,25-04-2025 ls 27-04-2025 rd,2025,vkfVZfLVd is;j,Lo.kZ,
30,lkekU;,;ksxk,,vkj{kh vuqjkx efyd,"f}rh; ,f'k;u ;ksxk'ku pSfEi;uf'ki",fnYyh,25-04-2025 ls 27-04-2025 rd,2025,V~fofLVax ckWMh,Lo.kZ,
31,lkekU;,;ksxk,,e-vkj{kh _rq Bkdqj,"f}rh; ,f'k;u ;ksxk'ku pSfEi;uf'ki",fnYyh,25-04-2025 ls 27-04-2025 rd,2025,V~fofLVax ckWMh,Lo.kZ,
32,lkekU;,;ksxk,,e-vkj{kh _rq Bkdqj,"f}rh; ,f'k;u ;ksxk'ku pSfEi;uf'ki",fnYyh,25-04-2025 ls 27-04-2025 rd,2025,fjnfed is;j ;ksxklu,Lo.kZ,
33,lkekU;,;ksxk,,"vuqjkx efyd
c`ts'k iz/kku","f}rh; ,f'k;u ;ksxk'ku pSfEi;uf'ki",fnYyh,25-04-2025 ls 27-04-2025 rd,2025,fjnfed is;j ;ksxklu,Lo.kZ,
34,dq-f[k-,",FkysfVDl",,iqfyl mik/kh{kd ik:y pkS/kjh,"26oha ,f'k;u ,FkysfVDl pSfEi;uf'ki 2025",xqeh] lkmFk dksfj;k,27-05-2025 ls 31-05-2025,2025,LVhiy psl,jtr,
35,dq-f[k-,",FkysfVDl",,lfpu ;kno,"26oha ,f'k;u ,FkysfVDl pSfEi;uf'ki 2025",xqeh] lkmFk dksfj;k,27-05-2025 ls 31-05-2025,2025,tSofyu Fkzks,jtr,
36,dq-f[k-,oq'kw,232030224,lwjt ;kno,eksLdks oq'kw LVkj pSfEi;uf'ki,eksLdks] :l,01-06-2025 ls 07-06-2025,2025,lk.Mk,Lo.kZ,futh O;;
37,dq-f[k-,oq'kw,232330207,fufru pkS/kjh,"f}rh; oq'kw lk.Mk ,f'k;k di",pkbuk,02-07-2025 ls 07-07-2025,2025,lk.Mk,dkaL;,
