vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,vU; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k,
"Ø0
la0",f[kykMh dk izdkj,[ksy fo/kk dk uke,"ih,uvks","ih,uvks",in o uke,izfr;ksfxrk dk uke,LFkku,fnukad,"o""kZ",vk;kstu LFky,dc ls ,dc rd,"o""kZ",Li/kkZ,esMy,fooj.k
1,2,3,4,5,6,7,8,9,10,,,,,11,12,
1,lkeU;,,,,nyuk;d pUnzgkl dq'kokgk] m-fujh{kd cyjke] vkj{kh vfHkthr,75 fnol fQVusl izksxzke,gSnjkckn,09-1-2024 a,2024,,,,,,dkaL;,
2,dq-f[k-,Vscy Vsful,,,lqczr jkt oekZ,;wih LVsV bUohVs'ku Vscy Vsful pSfEi;uf'ki,,15-03-2024 ls 17-03-2024 vkxjk,2024,vkxjk,15-03-2024,17-03-2024,2024,vksiu flaxYl,Lo.kZ,
3,dq-f[k-,Vscy Vsful,,,lqczr jkt oekZ,;wih LVsV bUohVs'ku Vscy Vsful pSfEi;uf'ki,,15-03-2024 ls 17-03-2024 vkxjk,2024,vkxjk,15-03-2024,17-03-2024,2024,Vhe xse,Lo.kZ,
4,dq-f[k-,Vscy Vsful,,,lqczr jkt oekZ,;wih LVsV bUohVs'ku Vscy Vsful pSfEi;uf'ki,,15-03-2024 ls 17-03-2024 vkxjk,2024,vkxjk,15-03-2024,17-03-2024,2024,McYl,Lo.kZ,
5,dq-f[k-,Vscy Vsful,,,"lqczr jkt oekZ] J`f""V tk;loky",;wih LVsV bUohVs'ku Vscy Vsful pSfEi;uf'ki,,15-03-2024 ls 17-03-2024 vkxjk,2024,vkxjk,15-03-2024,17-03-2024,2024,feDl McYl,Lo.kZ,
6,dq-f[k-,Vscy Vsful,,,"J`f""V t;loky",;wih LVsV bUohVs'ku Vscy Vsful pSfEi;uf'ki,,15-03-2024 ls 17-03-2024 vkxjk,2024,vkxjk,15-03-2024,17-03-2024,2024,vksiu flaxYl,dkaL;,
7,dq-f[k-,Vscy Vsful,,,"J`f""V t;loky] xquxqu lkgw",;wih LVsV bUohVs'ku Vscy Vsful pSfEi;uf'ki,,15-03-2024 ls 17-03-2024 vkxjk,2024,vkxjk,15-03-2024,17-03-2024,2024,Vhe xse,Lo.kZ,
8,dq-f[k-,Vscy Vsful,,,"J`f""V t;loky] xquxqu lkgw",;wih LVsV bUohVs'ku Vscy Vsful pSfEi;uf'ki,,15-03-2024 ls 17-03-2024 vkxjk,2024,vkxjk,15-03-2024,17-03-2024,2024,McYl,jtr,
