"jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k","jk""Vªh; izfr;ksfxrkvks esa izkIr fd;s x;s indksa dk fooj.k",
"Ø0
la0",f[kykMh dk izdkj,[ksy fo/kk,"ih,uvks",in o uke,izfr;ksfxrk dk uke,LFkku,fnukad,"o""kZ",Li/kkZ,esMy,
1,2,3,4,5,6,7,8,9,10,11,
1,dq-f[k-,rkbZDok.Mks,,e-vkj{kh vuh'kk,"f}rh; jk""Vªh; rkbDok.Mks QsMjs'ku di [ksy izfr;ksfxrk",",l,e,l LVsfM;e t;iqj",18-01-2026 ls 23-01-2026,2026,53fdxzk,jtr,
2,dq-f[k-,rkbZDok.Mks,,e-vkj{kh fjf'krk jk;,"f}rh; jk""Vªh; rkbDok.Mks QsMjs'ku di [ksy izfr;ksfxrk",",l,e,l LVsfM;e t;iqj",18-01-2026 ls 23-01-2026,2026,53fdxzk,Lo.kZ,
3,dq-f[k-,rkbZDok.Mks,,e-vkj{kh iwtk,"f}rh; jk""Vªh; rkbDok.Mks QsMjs'ku di [ksy izfr;ksfxrk",",l,e,l LVsfM;e t;iqj",18-01-2026 ls 23-01-2026,2026,57fdxzk,dkaL;,
4,dq-f[k-,rkbZDok.Mks,,e-vkj{kh e/kw flag,"f}rh; jk""Vªh; rkbDok.Mks QsMjs'ku di [ksy izfr;ksfxrk",",l,e,l LVsfM;e t;iqj",18-01-2026 ls 23-01-2026,2026,67fdxzk,Lo.kZ,
5,dq-f[k-,rkbZDok.Mks,,vkj{kh fj'kh jk;,"f}rh; jk""Vªh; rkbDok.Mks QsMjs'ku di [ksy izfr;ksfxrk",",l,e,l LVsfM;e t;iqj",18-01-2026 ls 23-01-2026,2026,68fdxzk,dkaL;,
6,dq-f[k-,dzkld.Vªh,,e-vkj{kh mtkyk,"60oha jk""Vªh; dzkld.Vªh izfr;ksfxrk",jkaph,2026-01-24T00:00:00,2026,10fdeh,jtr,
7,dq-f[k-,dzkld.Vªh,,e-vkj{kh mtkyk,"60oha jk""Vªh; dzkld.Vªh izfr;ksfxrk",jkaph,2026-01-24T00:00:00,2026,efgyk Vhe pS-,jtr,
8,dq-f[k-,dzkld.Vªh,,e-vkj{kh 'kf'kyrk,"60oha jk""Vªh; dzkld.Vªh izfr;ksfxrk",jkaph,2026-01-24T00:00:00,2026,efgyk Vhe pS-,jtr,
