उत्तर प्रदेश पुलिस टीम में अभ्यासरत् अन्तर्राष्ट्रीय/राष्ट्रीय स्तर के खिलाडियों का विवरण,उत्तर प्रदेश पुलिस टीम में अभ्यासरत् अन्तर्राष्ट्रीय/राष्ट्रीय स्तर के खिलाडियों का विवरण,उत्तर प्रदेश पुलिस टीम में अभ्यासरत् अन्तर्राष्ट्रीय/राष्ट्रीय स्तर के खिलाडियों का विवरण,उत्तर प्रदेश पुलिस टीम में अभ्यासरत् अन्तर्राष्ट्रीय/राष्ट्रीय स्तर के खिलाडियों का विवरण,उत्तर प्रदेश पुलिस टीम में अभ्यासरत् अन्तर्राष्ट्रीय/राष्ट्रीय स्तर के खिलाडियों का विवरण,उत्तर प्रदेश पुलिस टीम में अभ्यासरत् अन्तर्राष्ट्रीय/राष्ट्रीय स्तर के खिलाडियों का विवरण,उत्तर प्रदेश पुलिस टीम में अभ्यासरत् अन्तर्राष्ट्रीय/राष्ट्रीय स्तर के खिलाडियों का विवरण,उत्तर प्रदेश पुलिस टीम में अभ्यासरत् अन्तर्राष्ट्रीय/राष्ट्रीय स्तर के खिलाडियों का विवरण
क्र.सं,अभ्यास स्थल/टीम प्रभारी का नाम,खेल विधा का नाम,अन्तर्राष्ट्रीय,अन्तर्राष्ट्रीय,राष्ट्रीय,राष्ट्रीय,योग
क्र.सं,अभ्यास स्थल/टीम प्रभारी का नाम,खेल विधा का नाम,महिला,पुरूष,महिला,पुरूष,योग
1,"04वीं वाहिनी / पुलिस लाइन  प्रयागराज
दलनायक श्री रामआसरे",वाटरस्पोर्टस,0,3,0,38,41
2,"04वीं वाहिनी / पुलिस लाइन  प्रयागराज
दलनायक श्री रामआसरे",जिम्नास्टिक,0,0,0,14,14
3,"06वीं वाहिनी मेरठ
दलनायक श्री गजेन्द्र प्रताप सिंह",शूटिंग स्पोर्ट्स,2,2,7,17,28
4,"06वीं वाहिनी मेरठ
दलनायक श्री गजेन्द्र प्रताप सिंह",बॉक्सिंग,3,2,5,8,18
5,"06वीं वाहिनी मेरठ
दलनायक श्री गजेन्द्र प्रताप सिंह",योगा,0,0,0,0,0
6,"06वीं वाहिनी मेरठ
दलनायक श्री गजेन्द्र प्रताप सिंह",वुशू,1,4,5,5,15
7,09वीं वाहिनी मुरादाबाद दलनायक श्री गजेन्द्र प्रताप सिंह,जूडो,2,4,8,6,20
8,10वीं वाहिनी बाराबंकी,आर्चरी,0,0,10,14,24
9,10वीं वाहिनी बाराबंकी,हॉकी,0,2,10,18,30
10,11वीं वाहिनी सीतापुऱ,शूटिंग (ड्यूटीमीट) ,0,0,0,0,0
11,"32वीं वाहिनी लखनऊ
दलनायक श्री चन्द्रभान सिंह",ताइक्वाण्डो,1,1,7,4,13
12,"32वीं वाहिनी लखनऊ
दलनायक श्री चन्द्रभान सिंह",कराटे,0,0,3,4,7
13,"35वीं वाहिनी लखनऊ
दलनायक श्री चन्द्रभान सिंह",एथलेटिक्स,2,3,16,43,64
14,"35वीं वाहिनी लखनऊ
दलनायक श्री चन्द्रभान सिंह",बास्केटबॉल (म0),1,0,8,0,9
15,"35वीं वाहिनी लखनऊ
दलनायक श्री चन्द्रभान सिंह",हैण्डबॉल,0,1,0,11,12
16,"35वीं वाहिनी लखनऊ
दलनायक श्री चन्द्रभान सिंह",तैराकी,0,0,6,11,17
17,"35वीं वाहिनी लखनऊ
दलनायक श्री चन्द्रभान सिंह",वॉलीबाल,0,4,9,7,20
18,"35वीं वाहिनी लखनऊ
दलनायक श्री चन्द्रभान सिंह",फुटबाल,0,2,0,17,19
19,"35वीं वाहिनी लखनऊ
दलनायक श्री चन्द्रभान सिंह",क्रॉसकन्ट्री,0,2,2,5,9
20,"35वीं वाहिनी लखनऊ
दलनायक श्री चन्द्रभान सिंह",भारोत्तोलन,2,0,4,3,9
21,"35वीं वाहिनी लखनऊ
दलनायक श्री चन्द्रभान सिंह",साइक्लिंग,0,0,1,8,9
22,"47वीं वाहिनी गाजियाबाद
निरीक्षक ना.पु. रजनी",कबड्डी,0,0,11,10,21
23,"47वीं वाहिनी गाजियाबाद
निरीक्षक ना.पु. रजनी",कुश्ती,3,8,13,12,36
,"47वीं वाहिनी गाजियाबाद
निरीक्षक ना.पु. रजनी",टेबल टेनिस,0,0,2,3,5
24,"पुलिस लाइन गाजियाबाद
निरीक्षक ना.पु. रजनी",पावर लिफि्टंग,0,0,0,0,0
25,"पुलिस लाइन गाजियाबाद
निरीक्षक ना.पु. रजनी",बैडमिन्टन,1,2,2,5,10
27,पुलिस लाइन मुजफ्फरनगर,बाडी बिल्डिंग,0,2,0,0,2
28,पुलिस लाइन आगरा,बास्केटबॉल (पुरूष),0,2,0,6,8
29,पुलिस लाइन मेरठ,आर्म रेसलिंग,1,2,0,0,3
योग,योग,योग,19,46,129,269,463
योग,योग,योग,65,65,398,398,463
