विभिन्न वाहिनियों/जनपदों में उ.प्र. पुलिस के अभ्यासरत् खिलाडियों/टीमों का विवरण (सामान्य खिलाडी),विभिन्न वाहिनियों/जनपदों में उ.प्र. पुलिस के अभ्यासरत् खिलाडियों/टीमों का विवरण (सामान्य खिलाडी),विभिन्न वाहिनियों/जनपदों में उ.प्र. पुलिस के अभ्यासरत् खिलाडियों/टीमों का विवरण (सामान्य खिलाडी),विभिन्न वाहिनियों/जनपदों में उ.प्र. पुलिस के अभ्यासरत् खिलाडियों/टीमों का विवरण (सामान्य खिलाडी),विभिन्न वाहिनियों/जनपदों में उ.प्र. पुलिस के अभ्यासरत् खिलाडियों/टीमों का विवरण (सामान्य खिलाडी),विभिन्न वाहिनियों/जनपदों में उ.प्र. पुलिस के अभ्यासरत् खिलाडियों/टीमों का विवरण (सामान्य खिलाडी),विभिन्न वाहिनियों/जनपदों में उ.प्र. पुलिस के अभ्यासरत् खिलाडियों/टीमों का विवरण (सामान्य खिलाडी),विभिन्न वाहिनियों/जनपदों में उ.प्र. पुलिस के अभ्यासरत् खिलाडियों/टीमों का विवरण (सामान्य खिलाडी),विभिन्न वाहिनियों/जनपदों में उ.प्र. पुलिस के अभ्यासरत् खिलाडियों/टीमों का विवरण (सामान्य खिलाडी),विभिन्न वाहिनियों/जनपदों में उ.प्र. पुलिस के अभ्यासरत् खिलाडियों/टीमों का विवरण (सामान्य खिलाडी),विभिन्न वाहिनियों/जनपदों में उ.प्र. पुलिस के अभ्यासरत् खिलाडियों/टीमों का विवरण (सामान्य खिलाडी)
क्र.सं,"अभ्यास स्थल/टीम प्रभारी
 का नाम","खेल विधा 
का नाम",प्रशिक्षक,कुशल खिलाडी,कुशल खिलाडी,कुशल खिलाडी,सामान्य खिलाडी,सामान्य खिलाडी,सामान्य खिलाडी,"सामान्य/कुशल खिलाडी
कुल योग"
क्र.सं,"अभ्यास स्थल/टीम प्रभारी
 का नाम","खेल विधा 
का नाम",प्रशिक्षक,महिला,पुरूष,"कुशल 
खिलाडी योग",महिला,पुरूष,"सामान्य 
खिलाडी योग","सामान्य/कुशल खिलाडी
कुल योग"
1,06वीं वाहिनी मेरठ,योगा,3,0,0,0,13,17,30,30
2,"10वीं वाहिनी पीएसी, बाराबंकी",पेंचक सिलाट,1,0,0,0,8,8,16,16
3,11वीं वाहिनी पीएसी सीतापुर,शूटिंग (ड्यूटीमीट),1,0,0,0,3,21,24,24
4,"32वीं वाहिनी पीएसी, लखनऊ",फेंसिंग,,0,0,0,12,12,24,24
5,"32वीं वाहिनी पीएसी, लखनऊ",कराटे,1,0,0,0,4,5,9,9
6,"पुलिस लाइन गाजियाबाद
निरीक्षक ना.पु. रजनी",पावर लिफ्टिंग,2,0,0,0,9,15,24,24
7,पुलिस लाइन मुजफ्फरनगर,बाडी बिल्डिंग,1,0,0,0,0,23,23,23
8,पुलिस लाइन फतेहपुर,खो-खो,2,0,0,0,18,22,40,40
9,पुलिस लाइन गाजियाबाद,क्रिकेट,2,0,0,0,0,20,20,20
10,20वीं वाहिनी पीएसी आजमगढ,मलखम्भ,2,0,0,0,40,0,40,40
11,पुलिस लाइन मेरठ,आर्म रेसलिंग,1,0,0,0,0,0,0,0
12,,सेपक टकरा,1,0,0,0,0,0,0,0
योग,योग,योग,17,0,0,0,107,143,250,250
