source_text,encoding,unicode_hindi,english,maps_to_entity,maps_to_field,notes
क्र.सं.,unicode,क्र.सं.,Serial No.,-,(row index),Discard on import; use surrogate PK
क्रमांक,unicode,क्रमांक,Serial No.,-,(row index),Same as above
Ø0 la0,krutidev,क्र० सं०,Serial No.,-,(row index),Krutidev variant
Ø0laa0,krutidev,क्र० सं०,Serial No.,-,(row index),Krutidev variant
पीएनओ,unicode,पीएनओ,Police Number (service ID),members,pno,Primary natural key for UP Police personnel
पीएनओ नं,unicode,पीएनओ नं,PNO,members,pno,Same as above
पीएनओ नं-,unicode,पीएनओ नं,PNO,members,pno,Same as above
ih"~uvks,krutidev,पीएनओ,PNO,members,pno,Krutidev variant
ih”uvks,krutidev,पीएनओ,PNO,members,pno,Krutidev variant (curly quotes)
अधि०/कर्म० का नाम,unicode,अधिकारी/कर्मचारी का नाम,Officer/Personnel Name,members,full_name,Rank+name combined string
in o uke,krutidev,पद व नाम,Rank and Name,members,full_name,Combined rank+name in Krutidev
नाम,unicode,नाम,Name,members,full_name,
f[kykMh dk uke,krutidev,खिलाड़ी का नाम,Player Name,members,full_name,
पिता का नाम,unicode,पिता का नाम,Father's Name,members,father_name,
जन्म तिथि,unicode,जन्म तिथि,Date of Birth,members,dob,Date format varies (dd.mm.yyyy / dd-mm-yyyy)
भर्ती तिथि,unicode,भर्ती तिथि,Date of Joining,members,joining_date,
मोबाइल नम्बर,unicode,मोबाइल नम्बर,Mobile Number,members,mobile,10 digits; not always present
नियुक्ति,unicode,नियुक्ति,Posting/Appointment Unit,units,name,UP Police battalion / GRP / district
नियुक्ति जनपद,unicode,नियुक्ति जनपद,Posting District,members,posting_district,
गृह जनपद,unicode,गृह जनपद,Home District,members,home_district,
जनपद,unicode,जनपद,District,districts,name,
पद,unicode,पद,Rank/Designation,members,rank,e.g. आ. (आरक्षी / Constable)
in,krutidev,पद,Rank,members,rank,
रैंक,unicode,रैंक,Rank,members,rank,
खिलाडी का प्रकार,unicode,खिलाड़ी का प्रकार,Player Category,members,player_category,Values: सामान्य (GD) / कुशल खिलाड़ी (Skilled)
f[kykMh dk izdkj,krutidev,खिलाड़ी का प्रकार,Player Category,members,player_category,Krutidev variant
खिलाडी का स्तर,unicode,खिलाड़ी का स्तर,Player Level,members,player_level,Values: जोन / राष्ट्रीय / अन्तर्राष्ट्रीय / अखिल भारतीय पुलिस
PLAYERS LEVEL,english,खिलाड़ियों का स्तर,Player Level summary,(report),-,Aggregation sheet
खेल,unicode,खेल,Sport,sports,name,
[ksy,krutidev,खेल,Sport,sports,name,
खेल विधा,unicode,खेल विधा,Sport Discipline,sports,name,
खेल विधा का नाम,unicode,खेल विधा का नाम,Sport Name,sports,name,
[ksy fo/kk,krutidev,खेल विधा,Sport,sports,name,
[ksy fo/kk dk uke,krutidev,खेल विधा का नाम,Sport Name,sports,name,
स्पर्धा,unicode,स्पर्धा,Discipline / Sub-event,events,discipline,e.g. भार वर्ग / डबल्स / 100m
