category,code,label,points,client_status,notes
participation,base_points,Participation,1,pending_client_confirmation,Base points for each participation
medal,GOLD,Gold medal,10,pending_client_confirmation,Achievement medal points
medal,SILVER,Silver medal,7,pending_client_confirmation,Achievement medal points
medal,BRONZE,Bronze medal,5,pending_client_confirmation,Achievement medal points
medal,MERIT,Merit,3,pending_client_confirmation,Achievement medal points
tier_bonus,INTERNATIONAL,International tournament,10,pending_client_confirmation,Tournament tier bonus points
tier_bonus,NATIONAL,National tournament,6,pending_client_confirmation,Tournament tier bonus points
tier_bonus,AIPSC,AIPSC tournament,4,pending_client_confirmation,Tournament tier bonus points
tier_bonus,STATE,State tournament,2,pending_client_confirmation,Tournament tier bonus points
tier_bonus,ZONAL,Zonal tournament,1,pending_client_confirmation,Tournament tier bonus points
tier_bonus,OTHER,Other tournament tier,0,pending_client_confirmation,Tournament tier bonus points
award,BEST_PLAYER,Best Player,8,pending_client_confirmation,Participation award points
award,BEST_ATHLETE,Best Athlete,7,pending_client_confirmation,Participation award points
award,BEST_GOALKEEPER,Best Goalkeeper,5,pending_client_confirmation,Participation award points
award,MAN_OF_THE_MATCH,Man of the Match,3,pending_client_confirmation,Participation award points
award,COMMENDATION,Commendation,2,pending_client_confirmation,Participation award points
award,OTHER,Other award,0,pending_client_confirmation,Participation award points
