name,category
एथलेटिक्स,INDIVIDUAL
आर्चरी,INDIVIDUAL
शूटिंग,INDIVIDUAL
योगा,INDIVIDUAL
जिम्नास्टिक,INDIVIDUAL
साइकिलिंग,INDIVIDUAL
क्रॉस कंट्री,INDIVIDUAL
पावर लिफ्टिंग,INDIVIDUAL
भारोत्तोलन,INDIVIDUAL
बॉडी बिल्डिंग,INDIVIDUAL
बैडमिंटन,INDIVIDUAL
टेबल टेनिस,INDIVIDUAL
टेनिस,INDIVIDUAL
स्क्वैश,INDIVIDUAL
कुश्ती,COMBAT
वुशु,COMBAT
ताईक्वांडो,COMBAT
जूडो,COMBAT
कराटे,COMBAT
बॉक्सिंग,COMBAT
आर्म रेसलिंग,COMBAT
मलखम्भ,COMBAT
फेंसिंग,COMBAT
हॉकी,TEAM
कबड्डी,TEAM
वॉलीबॉल,TEAM
फुटबॉल,TEAM
क्रिकेट,TEAM
बास्केटबॉल,TEAM
हैंडबॉल,TEAM
खो-खो,TEAM
रस्साकशी,TEAM
बॉल बैडमिंटन,TEAM
तैराकी,WATER
वाटर पोलो,WATER
डाइविंग,WATER
कयाकिंग व केनोइंग,WATER
रोइंग,WATER
पेंचक सिलाट,COMBAT
सेपक टकरा,TEAM
वाटर स्पोर्ट्स,WATER
