name,code
आगरा,AGR
अलीगढ़,ALG
अम्बेडकर नगर,ABN
अमेठी,AMT
अमरोहा,AMR
औरैया,AUR
अयोध्या,AYD
आज़मगढ़,AZM
बागपत,BGP
बहराइच,BHR
बलिया,BAL
बलरामपुर,BLP
बांदा,BND
बाराबंकी,BBK
बरेली,BRL
बस्ती,BST
भदोही,BDH
बिजनौर,BJN
बदायूँ,BDN
बुलंदशहर,BLS
चंदौली,CDL
चित्रकूट,CTK
देवरिया,DVR
एटा,ETA
इटावा,ETW
फर्रुखाबाद,FKB
फतेहपुर,FTP
फिरोज़ाबाद,FRZ
गौतम बुद्ध नगर,GBN
गाज़ियाबाद,GZB
ग़ाज़ीपुर,GZP
गोंडा,GND
गोरखपुर,GKP
हमीरपुर,HMP
हापुड़,HPR
हरदोई,HDI
हाथरस,HTR
जालौन,JLN
जौनपुर,JNP
झाँसी,JHS
कन्नौज,KNJ
कानपुर देहात,KPD
कानपुर नगर,KPN
कासगंज,KSG
कौशाम्बी,KSB
खीरी,KHR
कुशीनगर,KSN
ललितपुर,LLP
लखनऊ,LKO
महाराजगंज,MRJ
महोबा,MHB
मैनपुरी,MNP
मथुरा,MTH
मऊ,MAU
मेरठ,MRT
मिर्ज़ापुर,MRZ
मुरादाबाद,MRD
मुज़फ़्फ़रनगर,MFN
पीलीभीत,PLB
प्रतापगढ़,PTG
प्रयागराज,PRY
रायबरेली,RBL
रामपुर,RMP
सहारनपुर,SHR
संभल,SMB
संत कबीर नगर,SKN
शाहजहाँपुर,SJP
शामली,SML
श्रावस्ती,SVT
सिद्धार्थनगर,SDN
सीतापुर,STP
सोनभद्र,SNB
सुल्तानपुर,SLT
उन्नाव,UNN
वाराणसी,VNS
